Nome: SAO LUIZ GONZAGA
Codigo Estacao: A852
Latitude: -28.41722221
Longitude: -54.9625
Altitude: 245.5
Situacao: Operante
Data Inicial: 2007-07-24
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;null;
2007-08-31;3.318122;
2007-09-30;3.392361;
2007-10-31;3.339861;
2007-11-30;2.687075;
2007-12-31;2.630108;
2008-01-31;2.787097;
2008-02-29;2.373419;
2008-03-31;2.544337;
2008-04-30;2.280556;
2008-05-31;2.568508;
2008-06-30;2.564402;
2008-07-31;3.110081;
2008-08-31;2.800806;
2008-09-30;3.03702;
2008-10-31;3.028495;
2008-11-30;2.974861;
2008-12-31;2.717339;
2009-01-31;2.78414;
2009-02-28;2.608631;
2009-03-31;2.2375;
2009-04-30;2.314861;
2009-05-31;2.627016;
2009-06-30;2.674306;
2009-07-31;2.445161;
2009-08-31;3.178629;
2009-09-30;2.977361;
2009-10-31;3.025287;
2009-11-30;3.188194;
2009-12-31;2.650538;
2010-01-31;2.612135;
2010-02-28;2.873512;
2010-03-31;2.359274;
2010-04-30;2.617361;
2010-05-31;2.439382;
2010-06-30;3.018056;
2010-07-31;3.008737;
2010-08-31;3.109005;
2010-09-30;2.939028;
2010-10-31;2.776747;
2010-11-30;2.449306;
2010-12-31;2.776747;
2011-01-31;2.315323;
2011-02-28;2.420238;
2011-03-31;2.701004;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;2.914861;
2011-10-31;2.588441;
2011-11-30;2.730556;
2011-12-31;2.434946;
2012-01-31;2.617339;
2012-02-29;2.460201;
2012-03-31;2.243421;
2012-04-30;null;
2012-05-31;null;
2012-06-30;2.557817;
2012-07-31;2.645296;
2012-08-31;3.162989;
2012-09-30;3.226389;
2012-10-31;3.250941;
2012-11-30;2.576667;
2012-12-31;2.747849;
2013-01-31;2.453764;
2013-02-28;2.288542;
2013-03-31;2.557556;
2013-04-30;2.203194;
2013-05-31;2.41063;
2013-06-30;2.332639;
2013-07-31;2.684843;
2013-08-31;2.917388;
2013-09-30;2.639028;
2013-10-31;2.744624;
2013-11-30;3.096667;
2013-12-31;2.347715;
2014-01-31;2.596909;
2014-02-28;null;
2014-03-31;null;
2014-04-30;2.460833;
2014-05-31;2.274194;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;2.594445;
2014-12-31;2.554032;
2015-01-31;2.573399;
2015-02-28;1.858631;
2015-03-31;1.880511;
2015-04-30;1.870278;
2015-05-31;2.051344;
2015-06-30;1.73125;
2015-07-31;1.17043;
2015-08-31;2.197222;
2015-09-30;null;
2015-10-31;2.308617;
2015-11-30;null;
2015-12-31;2.594265;
2016-01-31;2.573521;
2016-02-29;2.330804;
2016-03-31;2.423387;
2016-04-30;2.721806;
2016-05-31;null;
2016-06-30;null;
2016-07-31;2.773237;
2016-08-31;2.990654;
2016-09-30;2.794583;
2016-10-31;3.003453;
2016-11-30;2.715762;
2016-12-31;2.560618;
2017-01-31;2.55613;
2017-02-28;2.293417;
2017-03-31;2.523272;
2017-04-30;2.721598;
2017-05-31;2.743554;
2017-06-30;2.795556;
2017-07-31;3.180645;
2017-08-31;3.273231;
2017-09-30;2.929268;
2017-10-31;2.841742;
2017-11-30;2.739063;
2017-12-31;2.611027;
2018-01-31;2.693204;
2018-02-28;2.545006;
2018-03-31;2.405266;
2018-04-30;2.474235;
2018-05-31;2.661314;
2018-06-30;2.588197;
2018-07-31;null;
2018-08-31;null;
2018-09-30;2.87846;
2018-10-31;3.065843;
2018-11-30;2.876039;
2018-12-31;2.771371;
2019-01-31;2.677823;
2019-02-28;2.658631;
2019-03-31;2.463657;
2019-04-30;2.238611;
2019-05-31;2.522984;
2019-06-30;2.981667;
2019-07-31;2.679809;
2019-08-31;3.121017;
2019-09-30;3.087029;
2019-10-31;3.234274;
2019-11-30;2.915237;
2019-12-31;2.382743;
2020-01-31;2.690708;
2020-02-29;2.561164;
2020-03-31;2.532475;
2020-04-30;2.415676;
2020-05-31;2.62379;
2020-06-30;3.083611;
2020-07-31;2.836021;
2020-08-31;3.247586;
2020-09-30;3.118641;
2020-10-31;3.065065;
2020-11-30;2.901944;
2020-12-31;2.650257;
2021-01-31;2.898843;
2021-02-28;2.336775;
2021-03-31;2.30741;
2021-04-30;2.660139;
2021-05-31;2.625403;
2021-06-30;2.63306;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;2.79952;
2022-01-31;3.0562;
2022-02-28;2.711652;
2022-03-31;2.766152;
2022-04-30;2.686528;
2022-05-31;2.545161;
2022-06-30;2.510652;
2022-07-31;3.068687;
2022-08-31;3.090574;
2022-09-30;2.965833;
2022-10-31;2.865188;
2022-11-30;3.027916;
2022-12-31;2.653229;

