Nome: CRUZ ALTA
Codigo Estacao: A853
Latitude: -28.60344
Longitude: -53.673597
Altitude: 426.69
Situacao: Operante
Data Inicial: 2007-05-30
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;null;
2007-06-30;2.249724;
2007-07-31;3.126852;
2007-08-31;4.174182;
2007-09-30;3.8575;
2007-10-31;3.762675;
2007-11-30;3.672659;
2007-12-31;3.569624;
2008-01-31;3.980242;
2008-02-29;2.956236;
2008-03-31;3.034011;
2008-04-30;2.520139;
2008-05-31;2.725314;
2008-06-30;2.7843;
2008-07-31;2.824158;
2008-08-31;3.225538;
2008-09-30;3.833889;
2008-10-31;4.056317;
2008-11-30;4.594722;
2008-12-31;3.781323;
2009-01-31;3.427151;
2009-02-28;2.776934;
2009-03-31;2.622879;
2009-04-30;2.978889;
2009-05-31;2.822715;
2009-06-30;3.015;
2009-07-31;2.890054;
2009-08-31;3.259946;
2009-09-30;3.847222;
2009-10-31;3.690086;
2009-11-30;3.31875;
2009-12-31;3.706183;
2010-01-31;3.018695;
2010-02-28;2.783333;
2010-03-31;3.03563;
2010-04-30;3.249444;
2010-05-31;3.362769;
2010-06-30;3.127778;
2010-07-31;2.953091;
2010-08-31;3.592385;
2010-09-30;3.640694;
2010-10-31;3.316263;
2010-11-30;2.827222;
2010-12-31;3.199462;
2011-01-31;2.35121;
2011-02-28;3.016964;
2011-03-31;3.296996;
2011-04-30;2.434028;
2011-05-31;3.22302;
2011-06-30;2.375694;
2011-07-31;2.856276;
2011-08-31;3.747715;
2011-09-30;3.495417;
2011-10-31;3.478536;
2011-11-30;3.7325;
2011-12-31;3.452823;
2012-01-31;3.736518;
2012-02-29;null;
2012-03-31;null;
2012-04-30;2.880199;
2012-05-31;2.621909;
2012-06-30;2.276667;
2012-07-31;2.812769;
2012-08-31;3.27391;
2012-09-30;3.974167;
2012-10-31;3.685069;
2012-11-30;3.938056;
2012-12-31;3.134561;
2013-01-31;3.510618;
2013-02-28;2.71622;
2013-03-31;3.233583;
2013-04-30;2.326431;
2013-05-31;2.121505;
2013-06-30;1.954874;
2013-07-31;.927671;
2013-08-31;1.469893;
2013-09-30;.719861;
2013-10-31;1.115182;
2013-11-30;2.299028;
2013-12-31;1.352285;
2014-01-31;.787231;
2014-02-28;1.370089;
2014-03-31;.634409;
2014-04-30;1.53375;
2014-05-31;.823253;
2014-06-30;2.299722;
2014-07-31;1.388172;
2014-08-31;1.090995;
2014-09-30;2.33625;
2014-10-31;2.228904;
2014-11-30;1.527361;
2014-12-31;1.647581;
2015-01-31;.983737;
2015-02-28;.925744;
2015-03-31;.971371;
2015-04-30;1.265972;
2015-05-31;1.114919;
2015-06-30;1.166667;
2015-07-31;1.199731;
2015-08-31;.680972;
2015-09-30;1.470139;
2015-10-31;2.284005;
2015-11-30;2.318472;
2015-12-31;1.481452;
2016-01-31;1.304167;
2016-02-29;.541379;
2016-03-31;1.225538;
2016-04-30;.885694;
2016-05-31;.935349;
2016-06-30;.865556;
2016-07-31;.987097;
2016-08-31;1.100006;
2016-09-30;1.288056;
2016-10-31;1.555242;
2016-11-30;1.419722;
2016-12-31;.88172;
2017-01-31;.510349;
2017-02-28;.219196;
2017-03-31;.711962;
2017-04-30;1.279444;
2017-05-31;2.870027;
2017-06-30;2.771389;
2017-07-31;2.709409;
2017-08-31;3.781317;
2017-09-30;3.570833;
2017-10-31;3.568145;
2017-11-30;3.661806;
2017-12-31;3.253629;
2018-01-31;2.960753;
2018-02-28;2.726935;
2018-03-31;2.651075;
2018-04-30;2.571111;
2018-05-31;2.725941;
2018-06-30;2.835833;
2018-07-31;3.074194;
2018-08-31;3.452449;
2018-09-30;3.43875;
2018-10-31;4.28078;
2018-11-30;4.113611;
2018-12-31;3.376747;
2019-01-31;3.012231;
2019-02-28;3.24122;
2019-03-31;3.116859;
2019-04-30;2.898472;
2019-05-31;3.35793;
2019-06-30;3.121389;
2019-07-31;2.95121;
2019-08-31;3.822043;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;2.942339;
2020-01-31;3.272312;
2020-02-29;3.082328;
2020-03-31;2.980327;
2020-04-30;3.025924;
2020-05-31;2.613038;
2020-06-30;3.398056;
2020-07-31;3.141263;
2020-08-31;3.444624;
2020-09-30;3.788472;
2020-10-31;3.988844;
2020-11-30;4.186341;
2020-12-31;3.446488;
2021-01-31;3.114506;
2021-02-28;2.628274;
2021-03-31;2.575403;
2021-04-30;3.264028;
2021-05-31;2.840054;
2021-06-30;3.269445;
2021-07-31;2.701344;
2021-08-31;3.554704;
2021-09-30;3.742778;
2021-10-31;3.55457;
2021-11-30;3.895386;
2021-12-31;4.131966;
2022-01-31;3.631627;
2022-02-28;2.972449;
2022-03-31;3.319629;
2022-04-30;3.295833;
2022-05-31;3.134274;
2022-06-30;3.063201;
2022-07-31;3.134589;
2022-08-31;3.753788;
2022-09-30;3.900972;
2022-10-31;3.499328;
2022-11-30;4.20769;
2022-12-31;3.472278;

