Nome: PLANALTO
Codigo Estacao: A855
Latitude: -25.72194443
Longitude: -53.74805555
Altitude: 399.1
Situacao: Operante
Data Inicial: 2007-11-06
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;2.809444;
2008-05-31;2.841975;
2008-06-30;2.682248;
2008-07-31;2.928763;
2008-08-31;2.932661;
2008-09-30;3.4675;
2008-10-31;3.270296;
2008-11-30;3.193979;
2008-12-31;2.971909;
2009-01-31;2.974813;
2009-02-28;2.475298;
2009-03-31;2.513978;
2009-04-30;2.614583;
2009-05-31;2.840457;
2009-06-30;2.605059;
2009-07-31;2.545699;
2009-08-31;3.124328;
2009-09-30;2.986777;
2009-10-31;3.017429;
2009-11-30;3.1025;
2009-12-31;2.563038;
2010-01-31;2.618035;
2010-02-28;2.793601;
2010-03-31;2.76371;
2010-04-30;2.7637;
2010-05-31;2.669131;
2010-06-30;3.004444;
2010-07-31;3.217708;
2010-08-31;2.985574;
2010-09-30;3.449306;
2010-10-31;2.987634;
2010-11-30;2.735;
2010-12-31;2.846237;
2011-01-31;1.820699;
2011-02-28;2.1385;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;2.913611;
2011-07-31;2.750134;
2011-08-31;3.285753;
2011-09-30;3.348472;
2011-10-31;3.222984;
2011-11-30;3.322778;
2011-12-31;2.668904;
2012-01-31;2.801613;
2012-02-29;2.563218;
2012-03-31;2.644758;
2012-04-30;2.657222;
2012-05-31;3.137769;
2012-06-30;2.611389;
2012-07-31;2.660484;
2012-08-31;3.260196;
2012-09-30;3.580278;
2012-10-31;3.675807;
2012-11-30;3.005417;
2012-12-31;2.995027;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;2.720972;
2013-05-31;2.621774;
2013-06-30;2.448283;
2013-07-31;2.556989;
2013-08-31;3.018548;
2013-09-30;3.191667;
2013-10-31;2.988441;
2013-11-30;3.618195;
2013-12-31;2.680645;
2014-01-31;2.266532;
2014-02-28;2.85372;
2014-03-31;2.661021;
2014-04-30;2.781528;
2014-05-31;2.713218;
2014-06-30;2.787963;
2014-07-31;3.106274;
2014-08-31;null;
2014-09-30;null;
2014-10-31;3.501724;
2014-11-30;2.774861;
2014-12-31;2.937667;
2015-01-31;2.402725;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;2.631891;
2015-06-30;2.925417;
2015-07-31;2.962769;
2015-08-31;3.047446;
2015-09-30;2.954444;
2015-10-31;3.232527;
2015-11-30;2.725278;
2015-12-31;2.51707;
2016-01-31;2.631048;
2016-02-29;2.29454;
2016-03-31;2.643011;
2016-04-30;2.755417;
2016-05-31;2.39207;
2016-06-30;2.480556;
2016-07-31;2.718817;
2016-08-31;2.872271;
2016-09-30;2.791667;
2016-10-31;3.398379;
2016-11-30;null;
2016-12-31;2.735753;
2017-01-31;2.359812;
2017-02-28;2.38631;
2017-03-31;2.621371;
2017-04-30;2.676528;
2017-05-31;2.436425;
2017-06-30;null;
2017-07-31;null;
2017-08-31;3.157661;
2017-09-30;3.189167;
2017-10-31;3.514516;
2017-11-30;2.809167;
2017-12-31;2.508602;
2018-01-31;2.170699;
2018-02-28;2.643452;
2018-03-31;null;
2018-04-30;null;
2018-05-31;2.498656;
2018-06-30;1.034028;
2018-07-31;.302016;
2018-08-31;.363306;
2018-09-30;.949028;
2018-10-31;1.227285;
2018-11-30;1.294444;
2018-12-31;.460753;
2019-01-31;.504167;
2019-02-28;.69122;
2019-03-31;.541801;
2019-04-30;.443194;
2019-05-31;.633602;
2019-06-30;.424444;
2019-07-31;.483065;
2019-08-31;1.214785;
2019-09-30;1.400278;
2019-10-31;1.091801;
2019-11-30;1.312603;
2019-12-31;1.247312;
2020-01-31;1.235081;
2020-02-29;1.99181;
2020-03-31;1.86129;
2020-04-30;1.757083;
2020-05-31;1.662903;
2020-06-30;1.874722;
2020-07-31;1.848656;
2020-08-31;2.15672;
2020-09-30;2.187422;
2020-10-31;2.323248;
2020-11-30;2.377159;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;3.390972;
2022-10-31;2.913441;
2022-11-30;3.527639;
2022-12-31;2.806317;

