Nome: CURITIBANOS
Codigo Estacao: A860
Latitude: -27.2886111
Longitude: -50.60416666
Altitude: 978.1
Situacao: Operante
Data Inicial: 2008-02-27
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-02-29;null;
2008-03-31;2.992678;
2008-04-30;2.38875;
2008-05-31;2.961969;
2008-06-30;3.04192;
2008-07-31;2.918467;
2008-08-31;3.537634;
2008-09-30;3.903701;
2008-10-31;3.946371;
2008-11-30;4.1125;
2008-12-31;3.566935;
2009-01-31;3.453629;
2009-02-28;3.109375;
2009-03-31;2.908468;
2009-04-30;2.689444;
2009-05-31;2.827554;
2009-06-30;3.070278;
2009-07-31;2.784409;
2009-08-31;3.522581;
2009-09-30;3.685694;
2009-10-31;3.504741;
2009-11-30;3.572639;
2009-12-31;3.358468;
2010-01-31;2.974731;
2010-02-28;2.934673;
2010-03-31;2.875672;
2010-04-30;2.858903;
2010-05-31;3.118182;
2010-06-30;3.212917;
2010-07-31;3.276786;
2010-08-31;3.714969;
2010-09-30;4.210391;
2010-10-31;3.265278;
2010-11-30;3.408472;
2010-12-31;3.186535;
2011-01-31;2.65578;
2011-02-28;2.936607;
2011-03-31;3.659328;
2011-04-30;2.771611;
2011-05-31;null;
2011-06-30;3.018889;
2011-07-31;3.198387;
2011-08-31;4.110349;
2011-09-30;3.522778;
2011-10-31;3.541801;
2011-11-30;3.557361;
2011-12-31;3.221237;
2012-01-31;3.059409;
2012-02-29;2.927443;
2012-03-31;2.758199;
2012-04-30;2.876945;
2012-05-31;2.746102;
2012-06-30;2.421111;
2012-07-31;3.049193;
2012-08-31;3.484044;
2012-09-30;3.766806;
2012-10-31;3.482661;
2012-11-30;3.622917;
2012-12-31;3.152688;
2013-01-31;3.112097;
2013-02-28;2.67128;
2013-03-31;2.918694;
2013-04-30;2.681389;
2013-05-31;2.601075;
2013-06-30;2.470303;
2013-07-31;2.666398;
2013-08-31;3.27043;
2013-09-30;3.358333;
2013-10-31;3.649731;
2013-11-30;4.039028;
2013-12-31;3.173522;
2014-01-31;2.689651;
2014-02-28;3.015923;
2014-03-31;2.95336;
2014-04-30;2.904861;
2014-05-31;2.600403;
2014-06-30;3.07125;
2014-07-31;2.956048;
2014-08-31;2.878898;
2014-09-30;3.717778;
2014-10-31;3.409677;
2014-11-30;3.272222;
2014-12-31;3.18691;
2015-01-31;2.670506;
2015-02-28;2.487649;
2015-03-31;2.462903;
2015-04-30;2.3775;
2015-05-31;2.652823;
2015-06-30;2.429306;
2015-07-31;2.527957;
2015-08-31;2.937634;
2015-09-30;2.895;
2015-10-31;3.261022;
2015-11-30;3.028194;
2015-12-31;3.017204;
2016-01-31;3.036828;
2016-02-29;2.356178;
2016-03-31;2.797312;
2016-04-30;2.410694;
2016-05-31;2.367876;
2016-06-30;2.180278;
2016-07-31;3.065323;
2016-08-31;2.615995;
2016-09-30;3.211806;
2016-10-31;3.748913;
2016-11-30;3.242639;
2016-12-31;2.814113;
2017-01-31;2.738038;
2017-02-28;2.641667;
2017-03-31;2.764651;
2017-04-30;3.112361;
2017-05-31;2.917147;
2017-06-30;null;
2017-07-31;null;
2017-08-31;3.190188;
2017-09-30;3.139306;
2017-10-31;3.317876;
2017-11-30;3.168056;
2017-12-31;2.958333;
2018-01-31;2.541532;
2018-02-28;2.43378;
2018-03-31;2.109677;
2018-04-30;2.095417;
2018-05-31;2.445027;
2018-06-30;2.141528;
2018-07-31;2.400637;
2018-08-31;2.791667;
2018-09-30;2.739306;
2018-10-31;2.837231;
2018-11-30;3.052917;
2018-12-31;2.392473;
2019-01-31;2.314919;
2019-02-28;2.108631;
2019-03-31;2.031048;
2019-04-30;1.6175;
2019-05-31;1.862903;
2019-06-30;1.792548;
2019-07-31;1.971957;
2019-08-31;2.514651;
2019-09-30;2.403056;
2019-10-31;2.383333;
2019-11-30;2.475278;
2019-12-31;2.027957;
2020-01-31;1.801613;
2020-02-29;1.953736;
2020-03-31;1.764651;
2020-04-30;1.713194;
2020-05-31;1.645699;
2020-06-30;1.899861;
2020-07-31;1.735349;
2020-08-31;1.609409;
2020-09-30;1.846667;
2020-10-31;1.752688;
2020-11-30;1.299861;
2020-12-31;1.142876;
2021-01-31;1.04086;
2021-02-28;.838988;
2021-03-31;.575269;
2021-04-30;.672639;
2021-05-31;.539247;
2021-06-30;.620694;
2021-07-31;.876075;
2021-08-31;.879436;
2021-09-30;.930004;
2021-10-31;.676917;
2021-11-30;null;
2021-12-31;null;
2022-01-31;.332143;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;3.368611;
2022-12-31;3.178763;

