Nome: ITUPORANGA
Codigo Estacao: A863
Latitude: -27.41833332
Longitude: -49.64694444
Altitude: 479.79
Situacao: Operante
Data Inicial: 2008-03-03
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;null;
2008-04-30;null;
2008-05-31;.845718;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;1.750135;
2008-11-30;1.836926;
2008-12-31;1.462366;
2009-01-31;1.565048;
2009-02-28;1.31756;
2009-03-31;1.30336;
2009-04-30;1.144444;
2009-05-31;.974059;
2009-06-30;1.020278;
2009-07-31;.992339;
2009-08-31;1.141398;
2009-09-30;1.526528;
2009-10-31;1.373563;
2009-11-30;1.472917;
2009-12-31;1.620161;
2010-01-31;1.432417;
2010-02-28;1.275149;
2010-03-31;.659409;
2010-04-30;.113611;
2010-05-31;.150269;
2010-06-30;.063333;
2010-07-31;.062634;
2010-08-31;.123333;
2010-09-30;.033333;
2010-10-31;.843683;
2010-11-30;1.245833;
2010-12-31;.598118;
2011-01-31;.360887;
2011-02-28;.209821;
2011-03-31;.182735;
2011-04-30;.176111;
2011-05-31;.229301;
2011-06-30;.331528;
2011-07-31;.143145;
2011-08-31;.45336;
2011-09-30;.171111;
2011-10-31;.33414;
2011-11-30;.148056;
2011-12-31;.093952;
2012-01-31;.128226;
2012-02-29;.085488;
2012-03-31;.057527;
2012-04-30;.402404;
2012-05-31;.671371;
2012-06-30;.478333;
2012-07-31;.609409;
2012-08-31;.807104;
2012-09-30;1.091528;
2012-10-31;1.071371;
2012-11-30;.060972;
2012-12-31;.993683;
2013-01-31;1.190726;
2013-02-28;1.217411;
2013-03-31;1.13154;
2013-04-30;.762164;
2013-05-31;.597348;
2013-06-30;null;
2013-07-31;null;
2013-08-31;.734154;
2013-09-30;1.069861;
2013-10-31;1.387231;
2013-11-30;1.458889;
2013-12-31;1.333602;
2014-01-31;1.100941;
2014-02-28;1.358333;
2014-03-31;.894916;
2014-04-30;.801928;
2014-05-31;.538865;
2014-06-30;.726528;
2014-07-31;.555376;
2014-08-31;.675672;
2014-09-30;1.083044;
2014-10-31;1.181757;
2014-11-30;1.04;
2014-12-31;.996909;
2015-01-31;1.087038;
2015-02-28;1.026935;
2015-03-31;1.015457;
2015-04-30;.72875;
2015-05-31;.675134;
2015-06-30;.49875;
2015-07-31;.640995;
2015-08-31;.736559;
2015-09-30;1.065278;
2015-10-31;null;
2015-11-30;1.111277;
2015-12-31;1.062903;
2016-01-31;1.094086;
2016-02-29;1.04454;
2016-03-31;.981782;
2016-04-30;.7725;
2016-05-31;.643548;
2016-06-30;.610556;
2016-07-31;.745556;
2016-08-31;.760753;
2016-09-30;1.18125;
2016-10-31;1.422288;
2016-11-30;1.293721;
2016-12-31;null;
2017-01-31;1.041936;
2017-02-28;.97895;
2017-03-31;1.002419;
2017-04-30;.854861;
2017-05-31;null;
2017-06-30;.512319;
2017-07-31;.511051;
2017-08-31;.8425;
2017-09-30;null;
2017-10-31;1.349038;
2017-11-30;1.339557;
2017-12-31;1.193624;
2018-01-31;1.071237;
2018-02-28;1.05;
2018-03-31;.907527;
2018-04-30;.745556;
2018-05-31;.755376;
2018-06-30;.520984;
2018-07-31;.649328;
2018-08-31;.768145;
2018-09-30;.908472;
2018-10-31;1.249059;
2018-11-30;1.570972;
2018-12-31;1.289651;
2019-01-31;1.119893;
2019-02-28;.945833;
2019-03-31;.876747;
2019-04-30;.729167;
2019-05-31;.770161;
2019-06-30;.420833;
2019-07-31;.560887;
2019-08-31;.782661;
2019-09-30;1.050694;
2019-10-31;1.14086;
2019-11-30;1.287639;
2019-12-31;1.504032;
2020-01-31;1.356855;
2020-02-29;1.236782;
2020-03-31;1;
2020-04-30;.944722;
2020-05-31;.797581;
2020-06-30;.559583;
2020-07-31;.717742;
2020-08-31;.655645;
2020-09-30;.942222;
2020-10-31;1.348521;
2020-11-30;1.264167;
2020-12-31;1.319489;
2021-01-31;1.121505;
2021-02-28;1.190774;
2021-03-31;.934551;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;1.165125;
2021-11-30;1.457778;
2021-12-31;1.483871;
2022-01-31;1.327151;
2022-02-28;1.086458;
2022-03-31;.942204;
2022-04-30;.76375;
2022-05-31;.829973;
2022-06-30;.710278;
2022-07-31;.505645;
2022-08-31;.71129;
2022-09-30;.959167;
2022-10-31;1.084274;
2022-11-30;1.527083;
2022-12-31;1.320699;

