Nome: RANCHO QUEIMADO
Codigo Estacao: A870
Latitude: -27.6786111
Longitude: -49.04194444
Altitude: 881
Situacao: Operante
Data Inicial: 2016-05-30
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-05-31;null;
2016-06-30;1.293364;
2016-07-31;1.658602;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;1.744758;
2017-08-31;1.927688;
2017-09-30;1.742639;
2017-10-31;1.916801;
2017-11-30;1.829722;
2017-12-31;1.661828;
2018-01-31;2.097446;
2018-02-28;2.010119;
2018-03-31;1.958602;
2018-04-30;1.902917;
2018-05-31;2.017876;
2018-06-30;2.028056;
2018-07-31;2.217473;
2018-08-31;2.268145;
2018-09-30;2.110278;
2018-10-31;2.45457;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;1.993333;
2019-05-31;2.077957;
2019-06-30;2.173611;
2019-07-31;null;
2019-08-31;null;
2019-09-30;2.224861;
2019-10-31;2.367473;
2019-11-30;2.414167;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;2.129722;
2020-10-31;2.315457;
2020-11-30;2.162449;
2020-12-31;2.078226;
2021-01-31;null;
2021-02-28;null;
2021-03-31;1.978448;
2021-04-30;2.009722;
2021-05-31;2.089382;
2021-06-30;2.097083;
2021-07-31;2.272984;
2021-08-31;2.145699;
2021-09-30;2.309626;
2021-10-31;2.180108;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;2.055059;
2022-03-31;2.177554;
2022-04-30;2.147639;
2022-05-31;2.197715;
2022-06-30;2.091806;
2022-07-31;2.320161;
2022-08-31;2.386962;
2022-09-30;2.319583;
2022-10-31;2.195486;
2022-11-30;null;
2022-12-31;2.11707;

