Nome: MORRETES
Codigo Estacao: A873
Latitude: -25.50888888
Longitude: -48.80861111
Altitude: 50.31
Situacao: Operante
Data Inicial: 2008-03-12
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;null;
2008-04-30;1.095278;
2008-05-31;1.091347;
2008-06-30;1.010694;
2008-07-31;.983059;
2008-08-31;null;
2008-09-30;1.143962;
2008-10-31;null;
2008-11-30;1.317775;
2008-12-31;1.249597;
2009-01-31;1.116462;
2009-02-28;.965179;
2009-03-31;.909812;
2009-04-30;.630833;
2009-05-31;.563806;
2009-06-30;.755462;
2009-07-31;null;
2009-08-31;.576824;
2009-09-30;null;
2009-10-31;null;
2009-11-30;.922361;
2009-12-31;.545565;
2010-01-31;.341897;
2010-02-28;.238988;
2010-03-31;.217602;
2010-04-30;.233472;
2010-05-31;.278692;
2010-06-30;.253013;
2010-07-31;null;
2010-08-31;null;
2010-09-30;.470694;
2010-10-31;.54375;
2010-11-30;.457222;
2010-12-31;.596505;
2011-01-31;.578226;
2011-02-28;.51131;
2011-03-31;.239466;
2011-04-30;.127222;
2011-05-31;.738007;
2011-06-30;.358472;
2011-07-31;.468952;
2011-08-31;.854973;
2011-09-30;.325694;
2011-10-31;.393011;
2011-11-30;.728333;
2011-12-31;.559274;
2012-01-31;.919758;
2012-02-29;.806178;
2012-03-31;.624059;
2012-04-30;.640397;
2012-05-31;.893011;
2012-06-30;.731395;
2012-07-31;.964516;
2012-08-31;.954743;
2012-09-30;1.215139;
2012-10-31;1.18414;
2012-11-30;1.359722;
2012-12-31;1.169892;
2013-01-31;1.190188;
2013-02-28;1.066667;
2013-03-31;.936999;
2013-04-30;.982639;
2013-05-31;.854301;
2013-06-30;.711342;
2013-07-31;.888564;
2013-08-31;1.079435;
2013-09-30;1.050417;
2013-10-31;1.248925;
2013-11-30;1.16375;
2013-12-31;1.067339;
2014-01-31;1.156586;
2014-02-28;1.196907;
2014-03-31;.887097;
2014-04-30;.725743;
2014-05-31;.691263;
2014-06-30;.63;
2014-07-31;.65121;
2014-08-31;.822581;
2014-09-30;1.040278;
2014-10-31;1.146237;
2014-11-30;1.085036;
2014-12-31;1.084409;
2015-01-31;1.145919;
2015-02-28;.94375;
2015-03-31;.775672;
2015-04-30;.724903;
2015-05-31;.566935;
2015-06-30;.671389;
2015-07-31;.714651;
2015-08-31;.902285;
2015-09-30;.964861;
2015-10-31;.945296;
2015-11-30;.929861;
2015-12-31;.908199;
2016-01-31;1.026075;
2016-02-29;.840517;
2016-03-31;.737231;
2016-04-30;.811528;
2016-05-31;.663172;
2016-06-30;.684028;
2016-07-31;.766801;
2016-08-31;.936828;
2016-09-30;1.318056;
2016-10-31;1.164651;
2016-11-30;1.062917;
2016-12-31;.904839;
2017-01-31;.827554;
2017-02-28;.866964;
2017-03-31;.657527;
2017-04-30;.711389;
2017-05-31;.659409;
2017-06-30;.730278;
2017-07-31;.621774;
2017-08-31;.879704;
2017-09-30;.8275;
2017-10-31;1.013575;
2017-11-30;.933889;
2017-12-31;.818414;
2018-01-31;.738575;
2018-02-28;.714435;
2018-03-31;.57621;
2018-04-30;.655972;
2018-05-31;.630645;
2018-06-30;.526149;
2018-07-31;.751276;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;.95431;
2019-01-31;.75914;
2019-02-28;.637202;
2019-03-31;.529704;
2019-04-30;.353611;
2019-05-31;.327823;
2019-06-30;.234583;
2019-07-31;.286156;
2019-08-31;.377285;
2019-09-30;.407917;
2019-10-31;.481183;
2019-11-30;.263333;
2019-12-31;.391263;
2020-01-31;.243548;
2020-02-29;.243534;
2020-03-31;.094185;
2020-04-30;.068056;
2020-05-31;.051613;
2020-06-30;.135972;
2020-07-31;.321131;
2020-08-31;.328162;
2020-09-30;.392246;
2020-10-31;.180663;
2020-11-30;.26579;
2020-12-31;null;
2021-01-31;null;
2021-02-28;.153836;
2021-03-31;.09383;
2021-04-30;.027893;
2021-05-31;.052899;
2021-06-30;.022161;
2021-07-31;.082606;
2021-08-31;.070699;
2021-09-30;.088042;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;.157582;
2022-03-31;.072953;
2022-04-30;.040004;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;1.092075;
2022-10-31;1.077945;
2022-11-30;1.424389;
2022-12-31;.907562;

