Nome: SAO MATEUS DO SUL
Codigo Estacao: A874
Latitude: -25.83555555
Longitude: -50.36888888
Altitude: 780.21
Situacao: Operante
Data Inicial: 2011-04-16
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-04-30;null;
2011-05-31;.441071;
2011-06-30;.503333;
2011-07-31;.605108;
2011-08-31;.922581;
2011-09-30;.81375;
2011-10-31;.854436;
2011-11-30;.826389;
2011-12-31;.768548;
2012-01-31;.777419;
2012-02-29;.583621;
2012-03-31;.578091;
2012-04-30;.601944;
2012-05-31;.402151;
2012-06-30;.498558;
2012-07-31;.657796;
2012-08-31;.672101;
2012-09-30;.828333;
2012-10-31;.859409;
2012-11-30;.866667;
2012-12-31;.69207;
2013-01-31;.702554;
2013-02-28;.574405;
2013-03-31;.64675;
2013-04-30;.528333;
2013-05-31;.434812;
2013-06-30;.44953;
2013-07-31;.469373;
2013-08-31;.80793;
2013-09-30;.744028;
2013-10-31;.919086;
2013-11-30;.936806;
2013-12-31;.709543;
2014-01-31;.663172;
2014-02-28;.613393;
2014-03-31;.591398;
2014-04-30;.506944;
2014-05-31;.436056;
2014-06-30;null;
2014-07-31;.44407;
2014-08-31;.509677;
2014-09-30;.787639;
2014-10-31;.80336;
2014-11-30;.797778;
2014-12-31;.80121;
2015-01-31;.66731;
2015-02-28;.474107;
2015-03-31;.412366;
2015-04-30;.349722;
2015-05-31;.418414;
2015-06-30;.4125;
2015-07-31;.581317;
2015-08-31;.459543;
2015-09-30;.610833;
2015-10-31;.620161;
2015-11-30;.48125;
2015-12-31;.602419;
2016-01-31;.383737;
2016-02-29;.374425;
2016-03-31;.382392;
2016-04-30;.334444;
2016-05-31;.148788;
2016-06-30;.176007;
2016-07-31;.298253;
2016-08-31;.278838;
2016-09-30;.360833;
2016-10-31;.437652;
2016-11-30;.471389;
2016-12-31;.383003;
2017-01-31;.335484;
2017-02-28;.321875;
2017-03-31;.317831;
2017-04-30;.462185;
2017-05-31;.465591;
2017-06-30;.528472;
2017-07-31;.481183;
2017-08-31;.757124;
2017-09-30;.719167;
2017-10-31;.908871;
2017-11-30;.912917;
2017-12-31;.809812;
2018-01-31;.823215;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;.550672;
2018-06-30;.489167;
2018-07-31;.568683;
2018-08-31;.664247;
2018-09-30;.651389;
2018-10-31;.694758;
2018-11-30;.884722;
2018-12-31;.924462;
2019-01-31;.709677;
2019-02-28;.680059;
2019-03-31;.510081;
2019-04-30;.385833;
2019-05-31;.484274;
2019-06-30;.368333;
2019-07-31;.367339;
2019-08-31;.578495;
2019-09-30;.817917;
2019-10-31;.80457;
2019-11-30;.673056;
2019-12-31;.625403;
2020-01-31;.639247;
2020-02-29;.614943;
2020-03-31;.579839;
2020-04-30;.607639;
2020-05-31;.591263;
2020-06-30;.616944;
2020-07-31;.546371;
2020-08-31;.617339;
2020-09-30;.7;
2020-10-31;.739113;
2020-11-30;.655833;
2020-12-31;.62836;
2021-01-31;.632258;
2021-02-28;.646875;
2021-03-31;.574731;
2021-04-30;.387639;
2021-05-31;.510201;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;.746012;
2022-01-31;.564012;
2022-02-28;.550974;
2022-03-31;.54868;
2022-04-30;.430909;
2022-05-31;.548179;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;.58;
2022-10-31;.577419;
2022-11-30;.698472;
2022-12-31;.550806;

