Nome: GENERAL CARNEIRO
Codigo Estacao: A875
Latitude: -26.3986111
Longitude: -51.35361111
Altitude: 1009.01
Situacao: Operante
Data Inicial: 2008-04-29
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;.868011;
2008-08-31;1.236425;
2008-09-30;1.586667;
2008-10-31;1.570968;
2008-11-30;1.773231;
2008-12-31;1.579704;
2009-01-31;1.743694;
2009-02-28;1.300446;
2009-03-31;1.203495;
2009-04-30;1.040278;
2009-05-31;.999339;
2009-06-30;1.068867;
2009-07-31;1.042917;
2009-08-31;1.424328;
2009-09-30;1.412001;
2009-10-31;1.422557;
2009-11-30;1.419463;
2009-12-31;1.483065;
2010-01-31;1.497715;
2010-02-28;1.304018;
2010-03-31;.926389;
2010-04-30;.73913;
2010-05-31;.818924;
2010-06-30;null;
2010-07-31;.744292;
2010-08-31;1.05804;
2010-09-30;1.369797;
2010-10-31;1.02193;
2010-11-30;1.111806;
2010-12-31;1.082422;
2011-01-31;.807258;
2011-02-28;.949702;
2011-03-31;1.211611;
2011-04-30;.71622;
2011-05-31;.666825;
2011-06-30;.666316;
2011-07-31;.660444;
2011-08-31;1.134654;
2011-09-30;1.114318;
2011-10-31;1.208951;
2011-11-30;1.161177;
2011-12-31;1.127822;
2012-01-31;.970565;
2012-02-29;.827874;
2012-03-31;.748522;
2012-04-30;.644306;
2012-05-31;.665457;
2012-06-30;.596806;
2012-07-31;.801747;
2012-08-31;.958065;
2012-09-30;1.279167;
2012-10-31;1.077419;
2012-11-30;1.089583;
2012-12-31;.99422;
2013-01-31;.831452;
2013-02-28;.82247;
2013-03-31;.802;
2013-04-30;.414722;
2013-05-31;.612681;
2013-06-30;.99423;
2013-07-31;1.23414;
2013-08-31;1.460349;
2013-09-30;1.399444;
2013-10-31;1.678898;
2013-11-30;1.885;
2013-12-31;1.480914;
2014-01-31;1.254973;
2014-02-28;1.309077;
2014-03-31;1.250672;
2014-04-30;1.17625;
2014-05-31;1.0625;
2014-06-30;1.130903;
2014-07-31;1.207759;
2014-08-31;1.288306;
2014-09-30;1.555939;
2014-10-31;1.525972;
2014-11-30;1.342361;
2014-12-31;1.411962;
2015-01-31;1.320319;
2015-02-28;1.039137;
2015-03-31;1.079435;
2015-04-30;.981111;
2015-05-31;.933199;
2015-06-30;1.074861;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;1.314785;
2015-11-30;1.328333;
2015-12-31;1.272446;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;.832917;
2016-05-31;.814651;
2016-06-30;.667222;
2016-07-31;.789651;
2016-08-31;.848521;
2016-09-30;.978889;
2016-10-31;1.362769;
2016-11-30;1.186806;
2016-12-31;1.151882;
2017-01-31;1.047312;
2017-02-28;.91131;
2017-03-31;.84664;
2017-04-30;.817083;
2017-05-31;.639247;
2017-06-30;.826528;
2017-07-31;null;
2017-08-31;.840591;
2017-09-30;.668333;
2017-10-31;.993414;
2017-11-30;.819861;
2017-12-31;.74785;
2018-01-31;.797043;
2018-02-28;.558185;
2018-03-31;.407527;
2018-04-30;.363194;
2018-05-31;.461156;
2018-06-30;.419861;
2018-07-31;.541263;
2018-08-31;.625;
2018-09-30;.983889;
2018-10-31;1.05121;
2018-11-30;1.24375;
2018-12-31;1.080107;
2019-01-31;1.030376;
2019-02-28;1.012054;
2019-03-31;.924597;
2019-04-30;.599583;
2019-05-31;.745027;
2019-06-30;.638889;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;.944355;
2020-01-31;1.007527;
2020-02-29;1.055172;
2020-03-31;.831317;
2020-04-30;.78125;
2020-05-31;.80578;
2020-06-30;.6725;
2020-07-31;.745968;
2020-08-31;.675403;
2020-09-30;.997083;
2020-10-31;1.072984;
2020-11-30;.810139;
2020-12-31;.856586;
2021-01-31;.810349;
2021-02-28;.940774;
2021-03-31;.783199;
2021-04-30;.682222;
2021-05-31;.699865;
2021-06-30;.555833;
2021-07-31;.685215;
2021-08-31;.822849;
2021-09-30;.85273;
2021-10-31;.689247;
2021-11-30;.999167;
2021-12-31;1.122312;
2022-01-31;.852957;
2022-02-28;.796577;
2022-03-31;.775403;
2022-04-30;.632361;
2022-05-31;.774282;
2022-06-30;null;
2022-07-31;.64139;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;.986667;
2022-12-31;.834274;

