Nome: MOSTARDAS
Codigo Estacao: A878
Latitude: -31.24833333
Longitude: -50.90638888
Altitude: 3.82
Situacao: Operante
Data Inicial: 2008-03-10
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;null;
2008-04-30;3.849307;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;5.4125;
2008-09-30;6.32715;
2008-10-31;6.325672;
2008-11-30;7.137331;
2008-12-31;5.420161;
2009-01-31;5.819396;
2009-02-28;5.291815;
2009-03-31;5.670296;
2009-04-30;5.016806;
2009-05-31;4.400134;
2009-06-30;4.748691;
2009-07-31;8.444027;
2009-08-31;5.02043;
2009-09-30;5.783351;
2009-10-31;null;
2009-11-30;null;
2009-12-31;5.921237;
2010-01-31;5.364094;
2010-02-28;5.086161;
2010-03-31;5.499462;
2010-04-30;5.044088;
2010-05-31;5.75272;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;6.033472;
2010-12-31;6.25734;
2011-01-31;null;
2011-02-28;null;
2011-03-31;5.565054;
2011-04-30;null;
2011-05-31;5.315188;
2011-06-30;4.784861;
2011-07-31;5.043984;
2011-08-31;6.677971;
2011-09-30;5.94913;
2011-10-31;6.069086;
2011-11-30;6.225622;
2011-12-31;6.073253;
2012-01-31;6.068952;
2012-02-29;4.553017;
2012-03-31;4.921909;
2012-04-30;4.974167;
2012-05-31;4.252671;
2012-06-30;3.893056;
2012-07-31;5.109677;
2012-08-31;5.550461;
2012-09-30;6.405833;
2012-10-31;5.714785;
2012-11-30;6.005833;
2012-12-31;5.69664;
2013-01-31;6.2938;
2013-02-28;5.816964;
2013-03-31;5.974;
2013-04-30;5.073877;
2013-05-31;4.126882;
2013-06-30;4.369874;
2013-07-31;4.22888;
2013-08-31;5.549328;
2013-09-30;5.060658;
2013-10-31;5.258871;
2013-11-30;6.568333;
2013-12-31;5.322984;
2014-01-31;5.038844;
2014-02-28;5.709821;
2014-03-31;5.349866;
2014-04-30;5.336528;
2014-05-31;4.073878;
2014-06-30;null;
2014-07-31;5.174094;
2014-08-31;4.582124;
2014-09-30;5.960278;
2014-10-31;5.423387;
2014-11-30;5.8425;
2014-12-31;5.458737;
2015-01-31;5.068998;
2015-02-28;4.980952;
2015-03-31;5.398522;
2015-04-30;5.039722;
2015-05-31;5.429167;
2015-06-30;4.116528;
2015-07-31;4.423522;
2015-08-31;5.345968;
2015-09-30;5.573056;
2015-10-31;6.605208;
2015-11-30;6.206019;
2015-12-31;5.484274;
2016-01-31;5.244489;
2016-02-29;null;
2016-03-31;5.997849;
2016-04-30;5.545972;
2016-05-31;4.460349;
2016-06-30;3.779028;
2016-07-31;4.526075;
2016-08-31;4.305914;
2016-09-30;5.552083;
2016-10-31;6.419185;
2016-11-30;5.391389;
2016-12-31;5.381855;
2017-01-31;4.792204;
2017-02-28;4.287798;
2017-03-31;5.92957;
2017-04-30;5.340556;
2017-05-31;5.622581;
2017-06-30;4.353333;
2017-07-31;4.291398;
2017-08-31;5.886694;
2017-09-30;6.317917;
2017-10-31;6.22957;
2017-11-30;5.933333;
2017-12-31;6.218683;
2018-01-31;5.923521;
2018-02-28;5.327827;
2018-03-31;5.025538;
2018-04-30;4.341389;
2018-05-31;4.80672;
2018-06-30;4.146389;
2018-07-31;5.089516;
2018-08-31;4.957527;
2018-09-30;6.220833;
2018-10-31;6.312769;
2018-11-30;6.415139;
2018-12-31;5.742968;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;5.292298;
2019-08-31;5.503484;
2019-09-30;5.761003;
2019-10-31;5.88678;
2019-11-30;6.444767;
2019-12-31;null;
2020-01-31;7.473117;
2020-02-29;6.737893;
2020-03-31;6.813674;
2020-04-30;6.481424;
2020-05-31;5.445223;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;5.373455;
2022-08-31;5.401342;
2022-09-30;5.803398;
2022-10-31;5.946292;
2022-11-30;6.027456;
2022-12-31;5.879664;

