Nome: CANELA
Codigo Estacao: A879
Latitude: -29.36888888
Longitude: -50.82722221
Altitude: 830.93
Situacao: Operante
Data Inicial: 2008-08-22
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-08-31;null;
2008-09-30;null;
2008-10-31;2.931641;
2008-11-30;3.406739;
2008-12-31;2.767105;
2009-01-31;2.764902;
2009-02-28;2.83609;
2009-03-31;2.675853;
2009-04-30;2.316866;
2009-05-31;2.699495;
2009-06-30;3.051421;
2009-07-31;2.89461;
2009-08-31;3.333606;
2009-09-30;2.823381;
2009-10-31;2.72242;
2009-11-30;3.184722;
2009-12-31;2.678091;
2010-01-31;2.776955;
2010-02-28;3.140476;
2010-03-31;2.345266;
2010-04-30;2.612222;
2010-05-31;2.504436;
2010-06-30;3.121481;
2010-07-31;3.718913;
2010-08-31;3.098765;
2010-09-30;3.638333;
2010-10-31;2.498656;
2010-11-30;2.586528;
2010-12-31;2.865995;
2011-01-31;2.275134;
2011-02-28;2.543304;
2011-03-31;3.279145;
2011-04-30;2.476806;
2011-05-31;2.775927;
2011-06-30;3.138005;
2011-07-31;3.155897;
2011-08-31;4.033758;
2011-09-30;3.171501;
2011-10-31;2.985349;
2011-11-30;3.003333;
2011-12-31;2.723387;
2012-01-31;2.7205;
2012-02-29;2.950431;
2012-03-31;2.589411;
2012-04-30;2.333472;
2012-05-31;2.693484;
2012-06-30;2.818592;
2012-07-31;3.042991;
2012-08-31;3.64538;
2012-09-30;3.306322;
2012-10-31;3.321909;
2012-11-30;2.670556;
2012-12-31;2.912634;
2013-01-31;2.67043;
2013-02-28;2.619345;
2013-03-31;2.574417;
2013-04-30;2.512633;
2013-05-31;2.720202;
2013-06-30;2.656275;
2013-07-31;2.763732;
2013-08-31;2.945997;
2013-09-30;2.920972;
2013-10-31;2.930645;
2013-11-30;3.734722;
2013-12-31;2.888441;
2014-01-31;2.98414;
2014-02-28;3.13378;
2014-03-31;2.943548;
2014-04-30;2.910278;
2014-05-31;2.70793;
2014-06-30;3.237;
2014-07-31;3.472049;
2014-08-31;3.264141;
2014-09-30;3.638472;
2014-10-31;3.202957;
2014-11-30;2.881945;
2014-12-31;3.149597;
2015-01-31;2.840352;
2015-02-28;2.547917;
2015-03-31;2.541532;
2015-04-30;2.37875;
2015-05-31;2.957527;
2015-06-30;3.363575;
2015-07-31;2.893683;
2015-08-31;3.646102;
2015-09-30;2.572639;
2015-10-31;2.803898;
2015-11-30;2.914306;
2015-12-31;2.963172;
2016-01-31;2.897043;
2016-02-29;2.68477;
2016-03-31;2.856586;
2016-04-30;3.050978;
2016-05-31;2.446371;
2016-06-30;2.312534;
2016-07-31;3.16213;
2016-08-31;2.853004;
2016-09-30;2.821667;
2016-10-31;3.450134;
2016-11-30;2.649722;
2016-12-31;2.879301;
2017-01-31;2.806989;
2017-02-28;3.193452;
2017-03-31;2.871505;
2017-04-30;3.138194;
2017-05-31;3.145833;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;3.016389;
2017-10-31;3.346505;
2017-11-30;2.771111;
2017-12-31;2.868952;
2018-01-31;2.984005;
2018-02-28;2.743452;
2018-03-31;2.284543;
2018-04-30;2.433333;
2018-05-31;2.767608;
2018-06-30;2.96746;
2018-07-31;3.101864;
2018-08-31;3.093776;
2018-09-30;2.833056;
2018-10-31;2.880242;
2018-11-30;3.10375;
2018-12-31;2.727285;
2019-01-31;3.090591;
2019-02-28;2.455357;
2019-03-31;2.661962;
2019-04-30;2.138472;
2019-05-31;2.406317;
2019-06-30;3.116667;
2019-07-31;2.807534;
2019-08-31;3.183832;
2019-09-30;2.742144;
2019-10-31;2.783236;
2019-11-30;2.882603;
2019-12-31;2.856278;
2020-01-31;2.548346;
2020-02-29;2.889776;
2020-03-31;2.580394;
2020-04-30;2.83105;
2020-05-31;3.167897;
2020-06-30;null;
2020-07-31;3.179082;
2020-08-31;2.729674;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

