Nome: TEUTONIA
Codigo Estacao: A882
Latitude: -29.44916666
Longitude: -51.82333332
Altitude: 81
Situacao: Operante
Data Inicial: 2012-10-03
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-10-31;null;
2012-11-30;1.947857;
2012-12-31;1.984097;
2013-01-31;1.93819;
2013-02-28;1.800935;
2013-03-31;1.755242;
2013-04-30;1.584445;
2013-05-31;1.632428;
2013-06-30;1.649286;
2013-07-31;1.64875;
2013-08-31;1.950527;
2013-09-30;2.029861;
2013-10-31;1.906013;
2013-11-30;2.264959;
2013-12-31;1.930744;
2014-01-31;1.963623;
2014-02-28;2.110268;
2014-03-31;1.761594;
2014-04-30;1.658599;
2014-05-31;1.484498;
2014-06-30;1.893865;
2014-07-31;1.759128;
2014-08-31;2.039306;
2014-09-30;2.157313;
2014-10-31;2.016936;
2014-11-30;1.896703;
2014-12-31;1.995296;
2015-01-31;1.837903;
2015-02-28;1.752711;
2015-03-31;1.646505;
2015-04-30;1.527361;
2015-05-31;1.738172;
2015-06-30;1.667278;
2015-07-31;1.649778;
2015-08-31;2.327285;
2015-09-30;1.909513;
2015-10-31;1.937769;
2015-11-30;2.154583;
2015-12-31;1.914463;
2016-01-31;null;
2016-02-29;null;
2016-03-31;1.79879;
2016-04-30;1.879722;
2016-05-31;1.515567;
2016-06-30;1.306714;
2016-07-31;1.94826;
2016-08-31;1.665138;
2016-09-30;2.230278;
2016-10-31;2.048656;
2016-11-30;1.860972;
2016-12-31;1.935484;
2017-01-31;1.858737;
2017-02-28;1.704762;
2017-03-31;1.743624;
2017-04-30;1.785;
2017-05-31;1.57957;
2017-06-30;1.865139;
2017-07-31;1.889516;
2017-08-31;1.829973;
2017-09-30;1.900556;
2017-10-31;2.269758;
2017-11-30;1.992778;
2017-12-31;1.915995;
2018-01-31;1.981452;
2018-02-28;1.745012;
2018-03-31;1.627957;
2018-04-30;1.499444;
2018-05-31;1.572178;
2018-06-30;1.739028;
2018-07-31;1.698925;
2018-08-31;1.803629;
2018-09-30;1.728472;
2018-10-31;2.037366;
2018-11-30;1.9125;
2018-12-31;1.887769;
2019-01-31;1.92043;
2019-02-28;null;
2019-03-31;null;
2019-04-30;1.472778;
2019-05-31;1.493087;
2019-06-30;1.731111;
2019-07-31;1.599591;
2019-08-31;2.049866;
2019-09-30;1.871945;
2019-10-31;2.128091;
2019-11-30;1.832639;
2019-12-31;2.165591;
2020-01-31;1.957393;
2020-02-29;1.866092;
2020-03-31;1.849193;
2020-04-30;2.003611;
2020-05-31;1.975806;
2020-06-30;2.537222;
2020-07-31;1.881452;
2020-08-31;1.742058;
2020-09-30;1.791806;
2020-10-31;2.124597;
2020-11-30;2.129861;
2020-12-31;2.161156;
2021-01-31;2.082796;
2021-02-28;1.733185;
2021-03-31;1.543683;
2021-04-30;1.627222;
2021-05-31;1.740995;
2021-06-30;1.997639;
2021-07-31;1.877626;
2021-08-31;1.940188;
2021-09-30;1.983333;
2021-10-31;1.953448;
2021-11-30;null;
2021-12-31;2.225694;
2022-01-31;2.225403;
2022-02-28;1.874554;
2022-03-31;1.79328;
2022-04-30;1.635278;
2022-05-31;1.80914;
2022-06-30;1.532461;
2022-07-31;2.006855;
2022-08-31;1.836419;
2022-09-30;1.966389;
2022-10-31;1.99543;
2022-11-30;2.060694;
2022-12-31;1.906048;

