Nome: IBIRUBA
Codigo Estacao: A883
Latitude: -28.65333333
Longitude: -53.11194444
Altitude: 455.27
Situacao: Operante
Data Inicial: 2012-12-12
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-12-31;null;
2013-01-31;2.598907;
2013-02-28;2.304951;
2013-03-31;2.547989;
2013-04-30;2.256179;
2013-05-31;2.176782;
2013-06-30;2.241843;
2013-07-31;null;
2013-08-31;null;
2013-09-30;2.662328;
2013-10-31;2.660788;
2013-11-30;3.201896;
2013-12-31;2.549059;
2014-01-31;2.342204;
2014-02-28;2.610268;
2014-03-31;2.255242;
2014-04-30;2.545972;
2014-05-31;2.127236;
2014-06-30;2.517529;
2014-07-31;2.643868;
2014-08-31;null;
2014-09-30;2.998302;
2014-10-31;2.898492;
2014-11-30;2.705278;
2014-12-31;2.659677;
2015-01-31;2.424731;
2015-02-28;null;
2015-03-31;2.281183;
2015-04-30;2.245;
2015-05-31;2.410887;
2015-06-30;2.491528;
2015-07-31;2.469086;
2015-08-31;null;
2015-09-30;null;
2015-10-31;3.047743;
2015-11-30;2.7825;
2015-12-31;2.537097;
2016-01-31;2.464651;
2016-02-29;2.213218;
2016-03-31;2.490591;
2016-04-30;2.374583;
2016-05-31;2.139919;
2016-06-30;2.000833;
2016-07-31;2.387634;
2016-08-31;2.339516;
2016-09-30;2.421944;
2016-10-31;2.816859;
2016-11-30;2.543333;
2016-12-31;2.478226;
2017-01-31;2.338575;
2017-02-28;2.132738;
2017-03-31;2.425269;
2017-04-30;2.515278;
2017-05-31;2.574462;
2017-06-30;2.445139;
2017-07-31;2.391532;
2017-08-31;2.671371;
2017-09-30;2.656667;
2017-10-31;2.788441;
2017-11-30;2.529861;
2017-12-31;2.460484;
2018-01-31;2.390188;
2018-02-28;2.19122;
2018-03-31;2.172177;
2018-04-30;2.140972;
2018-05-31;2.284543;
2018-06-30;2.18375;
2018-07-31;2.372177;
2018-08-31;2.370833;
2018-09-30;2.457083;
2018-10-31;2.8;
2018-11-30;2.800278;
2018-12-31;2.408012;
2019-01-31;2.363172;
2019-02-28;2.228571;
2019-03-31;2.263172;
2019-04-30;2.000417;
2019-05-31;2.17836;
2019-06-30;2.335543;
2019-07-31;2.130108;
2019-08-31;2.588038;
2019-09-30;2.648056;
2019-10-31;2.765591;
2019-11-30;2.732778;
2019-12-31;2.38407;
2020-01-31;2.484829;
2020-02-29;2.362198;
2020-03-31;2.411962;
2020-04-30;2.304167;
2020-05-31;2.205879;
2020-06-30;2.789028;
2020-07-31;2.302151;
2020-08-31;2.428273;
2020-09-30;2.494897;
2020-10-31;2.754371;
2020-11-30;2.642295;
2020-12-31;2.450045;
2021-01-31;2.51565;
2021-02-28;2.06756;
2021-03-31;1.934543;
2021-04-30;2.489444;
2021-05-31;2.169489;
2021-06-30;2.317639;
2021-07-31;2.203064;
2021-08-31;2.532639;
2021-09-30;null;
2021-10-31;null;
2021-11-30;2.681111;
2021-12-31;2.575269;
2022-01-31;2.812946;
2022-02-28;2.253979;
2022-03-31;2.377151;
2022-04-30;2.396389;
2022-05-31;2.250134;
2022-06-30;2.232639;
2022-07-31;2.689785;
2022-08-31;2.561828;
2022-09-30;2.692083;
2022-10-31;2.611156;
2022-11-30;2.930833;
2022-12-31;2.497984;

