Nome: CAPAO DO LEAO (PELOTAS)
Codigo Estacao: A887
Latitude: -31.8025
Longitude: -52.40722222
Altitude: 13
Situacao: Operante
Data Inicial: 2019-07-17
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-07-31;null;
2019-08-31;3.155063;
2019-09-30;3.198417;
2019-10-31;3.50336;
2019-11-30;3.794444;
2019-12-31;3.370161;
2020-01-31;3.315054;
2020-02-29;3.682615;
2020-03-31;3.138636;
2020-04-30;3.733194;
2020-05-31;2.967876;
2020-06-30;3.02;
2020-07-31;3.0125;
2020-08-31;2.83871;
2020-09-30;3.293056;
2020-10-31;3.7875;
2020-11-30;3.33;
2020-12-31;3.795591;
2021-01-31;3.235494;
2021-02-28;2.951132;
2021-03-31;2.808947;
2021-04-30;3.018889;
2021-05-31;2.790323;
2021-06-30;3.368472;
2021-07-31;2.893817;
2021-08-31;2.868145;
2021-09-30;3.713056;
2021-10-31;3.493683;
2021-11-30;3.599028;
2021-12-31;3.444086;
2022-01-31;3.180967;
2022-02-28;3.150446;
2022-03-31;3.02109;
2022-04-30;2.755781;
2022-05-31;null;
2022-06-30;null;
2022-07-31;2.854394;
2022-08-31;2.889382;
2022-09-30;3.430417;
2022-10-31;3.761156;
2022-11-30;3.704585;
2022-12-31;3.446862;

