Nome: SAO VICENTE DO SUL
Codigo Estacao: A889
Latitude: -29.70222222
Longitude: -54.69444444
Altitude: 134
Situacao: Operante
Data Inicial: 2016-04-05
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-04-30;3.230669;
2016-05-31;3.090082;
2016-06-30;2.404065;
2016-07-31;3.047692;
2016-08-31;2.997892;
2016-09-30;3.444106;
2016-10-31;3.832439;
2016-11-30;3.294354;
2016-12-31;3.108468;
2017-01-31;3.103239;
2017-02-28;2.326915;
2017-03-31;3.507918;
2017-04-30;3.068889;
2017-05-31;3.237769;
2017-06-30;2.802917;
2017-07-31;2.477823;
2017-08-31;3.138026;
2017-09-30;3.830761;
2017-10-31;3.911962;
2017-11-30;3.479445;
2017-12-31;3.542473;
2018-01-31;3.275134;
2018-02-28;3.2;
2018-03-31;2.813979;
2018-04-30;2.517083;
2018-05-31;2.966801;
2018-06-30;null;
2018-07-31;null;
2018-08-31;3.09463;
2018-09-30;3.905915;
2018-10-31;4.291584;
2018-11-30;3.486681;
2018-12-31;3.052721;
2019-01-31;3.223415;
2019-02-28;3.071696;
2019-03-31;2.880896;
2019-04-30;2.704444;
2019-05-31;2.973692;
2019-06-30;2.499451;
2019-07-31;2.522279;
2019-08-31;3.297101;
2019-09-30;3.731775;
2019-10-31;4.00379;
2019-11-30;3.859028;
2019-12-31;2.872341;
2020-01-31;3.463114;
2020-02-29;3.089967;
2020-03-31;3.077151;
2020-04-30;2.679167;
2020-05-31;2.166274;
2020-06-30;null;
2020-07-31;2.620648;
2020-08-31;2.876373;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;3.503892;
2021-01-31;3.493817;
2021-02-28;2.638069;
2021-03-31;2.677016;
2021-04-30;2.997572;
2021-05-31;2.463172;
2021-06-30;2.802639;
2021-07-31;2.481452;
2021-08-31;3.290954;
2021-09-30;3.928611;
2021-10-31;3.583468;
2021-11-30;3.8125;
2021-12-31;4.265054;
2022-01-31;3.431048;
2022-02-28;2.880506;
2022-03-31;3.008871;
2022-04-30;2.86625;
2022-05-31;2.603986;
2022-06-30;2.647108;
2022-07-31;3.146371;
2022-08-31;3.372446;
2022-09-30;3.436528;
2022-10-31;3.799059;
2022-11-30;4.053056;
2022-12-31;3.715114;

