Nome: SERAFINA CORREA
Codigo Estacao: A894
Latitude: -28.70472222
Longitude: -51.87083332
Altitude: 545
Situacao: Operante
Data Inicial: 2016-03-31
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-03-31;null;
2016-04-30;null;
2016-05-31;1.080996;
2016-06-30;.963195;
2016-07-31;1.341129;
2016-08-31;1.191129;
2016-09-30;1.48537;
2016-10-31;1.53639;
2016-11-30;1.345731;
2016-12-31;1.400941;
2017-01-31;1.316263;
2017-02-28;1.267202;
2017-03-31;1.216532;
2017-04-30;1.1925;
2017-05-31;1.236425;
2017-06-30;1.22;
2017-07-31;1.166532;
2017-08-31;1.36707;
2017-09-30;1.30128;
2017-10-31;1.552349;
2017-11-30;1.350694;
2017-12-31;1.338935;
2018-01-31;1.296179;
2018-02-28;1.064435;
2018-03-31;1.115475;
2018-04-30;.972836;
2018-05-31;null;
2018-06-30;1.186405;
2018-07-31;1.311962;
2018-08-31;1.258064;
2018-09-30;1.265833;
2018-10-31;1.384543;
2018-11-30;1.459408;
2018-12-31;1.316364;
2019-01-31;1.341617;
2019-02-28;1.090657;
2019-03-31;1.10336;
2019-04-30;.972222;
2019-05-31;1.063575;
2019-06-30;1.079143;
2019-07-31;1.142012;
2019-08-31;1.336425;
2019-09-30;1.26;
2019-10-31;1.323925;
2019-11-30;1.384541;
2019-12-31;1.480429;
2020-01-31;1.294892;
2020-02-29;1.300431;
2020-03-31;1.126613;
2020-04-30;1.188333;
2020-05-31;1.303898;
2020-06-30;1.382778;
2020-07-31;1.24879;
2020-08-31;1.118817;
2020-09-30;1.262355;
2020-10-31;1.50121;
2020-11-30;1.362639;
2020-12-31;1.36056;
2021-01-31;1.318952;
2021-02-28;1.105208;
2021-03-31;1.030376;
2021-04-30;1.051944;
2021-05-31;1.095956;
2021-06-30;1.17257;
2021-07-31;1.141263;
2021-08-31;1.20336;
2021-09-30;1.431726;
2021-10-31;1.290995;
2021-11-30;1.432222;
2021-12-31;1.333041;
2022-01-31;1.363219;
2022-02-28;1.173066;
2022-03-31;1.297849;
2022-04-30;1.107361;
2022-05-31;1.152155;
2022-06-30;1.041592;
2022-07-31;1.342608;
2022-08-31;1.227285;
2022-09-30;1.394306;
2022-10-31;1.42808;
2022-11-30;1.422866;
2022-12-31;1.220699;

