Nome: CHAPECO
Codigo Estacao: A895
Latitude: -27.0853111
Longitude: -52.6357111
Altitude: 679
Situacao: Operante
Data Inicial: 2019-02-18
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-02-28;null;
2019-03-31;3.052957;
2019-04-30;2.695278;
2019-05-31;3.192608;
2019-06-30;3.707083;
2019-07-31;3.342339;
2019-08-31;3.85226;
2019-09-30;3.963195;
2019-10-31;3.793318;
2019-11-30;3.513333;
2019-12-31;3.235215;
2020-01-31;3.334543;
2020-02-29;3.109195;
2020-03-31;2.871175;
2020-04-30;3.119583;
2020-05-31;3.261694;
2020-06-30;4.235833;
2020-07-31;3.863441;
2020-08-31;3.547715;
2020-09-30;3.758333;
2020-10-31;3.477688;
2020-11-30;3.602475;
2020-12-31;3.426087;
2021-01-31;3.766821;
2021-02-28;3.005804;
2021-03-31;3.033678;
2021-04-30;3.124167;
2021-05-31;3.084005;
2021-06-30;3.2825;
2021-07-31;3.417339;
2021-08-31;3.453556;
2021-09-30;null;
2021-10-31;3.538049;
2021-11-30;3.28841;
2021-12-31;3.436618;
2022-01-31;3.544653;
2022-02-28;3.140774;
2022-03-31;3.336668;
2022-04-30;3.289722;
2022-05-31;3.269086;
2022-06-30;3.330725;
2022-07-31;4.179809;
2022-08-31;3.739113;
2022-09-30;3.658523;
2022-10-31;3.405192;
2022-11-30;3.845347;
2022-12-31;3.216088;

