Nome: CAMPOS NOVOS
Codigo Estacao: A898
Latitude: -27.3886111
Longitude: -51.21583333
Altitude: 963
Situacao: Operante
Data Inicial: 2019-02-14
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-02-28;null;
2019-03-31;3.155972;
2019-04-30;2.825139;
2019-05-31;2.878042;
2019-06-30;3.014861;
2019-07-31;2.982742;
2019-08-31;null;
2019-09-30;3.932583;
2019-10-31;3.826344;
2019-11-30;4.161578;
2019-12-31;3.257661;
2020-01-31;3.076344;
2020-02-29;3.465805;
2020-03-31;3.478812;
2020-04-30;3.221944;
2020-05-31;2.799597;
2020-06-30;3.230139;
2020-07-31;3.215803;
2020-08-31;3.564382;
2020-09-30;3.91625;
2020-10-31;4.123264;
2020-11-30;3.900151;
2020-12-31;3.566503;
2021-01-31;3.350463;
2021-02-28;2.812468;
2021-03-31;2.824537;
2021-04-30;3.481322;
2021-05-31;2.859677;
2021-06-30;3.420139;
2021-07-31;3.355046;
2021-08-31;4.163172;
2021-09-30;3.848379;
2021-10-31;4.12836;
2021-11-30;3.980531;
2021-12-31;4.168624;
2022-01-31;3.691047;
2022-02-28;3.052154;
2022-03-31;3.299643;
2022-04-30;3.526944;
2022-05-31;3.10914;
2022-06-30;3.197669;
2022-07-31;3.379815;
2022-08-31;3.935011;
2022-09-30;4.217222;
2022-10-31;3.490638;
2022-11-30;4.129788;
2022-12-31;3.668079;

