Nome: Santa Vitoria do Palmar - Barra do Chui
Codigo Estacao: A899
Latitude: -33.74222221
Longitude: -53.37222221
Altitude: 7.41
Situacao: Operante
Data Inicial: 2008-03-07
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;null;
2008-04-30;4.071528;
2008-05-31;4.83743;
2008-06-30;4.827046;
2008-07-31;null;
2008-08-31;4.804889;
2008-09-30;5.544583;
2008-10-31;5.516129;
2008-11-30;6.032699;
2008-12-31;6.340457;
2009-01-31;6.524433;
2009-02-28;5.275893;
2009-03-31;5.17274;
2009-04-30;4.805;
2009-05-31;4.628804;
2009-06-30;4.849167;
2009-07-31;4.763306;
2009-08-31;4.968817;
2009-09-30;6.0775;
2009-10-31;5.529298;
2009-11-30;5.01621;
2009-12-31;5.577419;
2010-01-31;2.914944;
2010-02-28;0;
2010-03-31;0;
2010-04-30;0;
2010-05-31;0;
2010-06-30;0;
2010-07-31;0;
2010-08-31;0;
2010-09-30;0;
2010-10-31;.715194;
2010-11-30;5.399861;
2010-12-31;5.575532;
2011-01-31;4.457661;
2011-02-28;6.526786;
2011-03-31;5.723055;
2011-04-30;4.594583;
2011-05-31;4.696774;
2011-06-30;4.671667;
2011-07-31;4.792204;
2011-08-31;5.757634;
2011-09-30;5.284722;
2011-10-31;6.128629;
2011-11-30;5.623472;
2011-12-31;5.998925;
2012-01-31;6.143601;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;3.746505;
2012-06-30;4.101389;
2012-07-31;4.908871;
2012-08-31;4.73028;
2012-09-30;5.402917;
2012-10-31;4.877419;
2012-11-30;5.564861;
2012-12-31;4.709812;
2013-01-31;5.102688;
2013-02-28;5.927232;
2013-03-31;5.204444;
2013-04-30;4.463472;
2013-05-31;4.171237;
2013-06-30;4.358965;
2013-07-31;4.273253;
2013-08-31;5.751882;
2013-09-30;5.94625;
2013-10-31;4.98293;
2013-11-30;5.617083;
2013-12-31;4.799328;
2014-01-31;5.121102;
2014-02-28;5.434375;
2014-03-31;5.239785;
2014-04-30;5.005278;
2014-05-31;3.729167;
2014-06-30;5.550972;
2014-07-31;4.724194;
2014-08-31;4.130645;
2014-09-30;5.058611;
2014-10-31;null;
2014-11-30;null;
2014-12-31;4.188038;
2015-01-31;4.520088;
2015-02-28;4.320833;
2015-03-31;null;
2015-04-30;null;
2015-05-31;4.354839;
2015-06-30;4.03875;
2015-07-31;3.992742;
2015-08-31;5.002285;
2015-09-30;5.685139;
2015-10-31;6.114247;
2015-11-30;5.692778;
2015-12-31;5.087634;
2016-01-31;4.831452;
2016-02-29;4.472701;
2016-03-31;5.835484;
2016-04-30;5.622778;
2016-05-31;5.015995;
2016-06-30;3.78;
2016-07-31;4.400672;
2016-08-31;4.322849;
2016-09-30;5.758472;
2016-10-31;5.722049;
2016-11-30;5.174444;
2016-12-31;4.855107;
2017-01-31;4.840188;
2017-02-28;4.059375;
2017-03-31;5.525269;
2017-04-30;5.275556;
2017-05-31;4.64785;
2017-06-30;3.980833;
2017-07-31;4.379032;
2017-08-31;5.04879;
2017-09-30;5.738056;
2017-10-31;5.804973;
2017-11-30;5.710417;
2017-12-31;5.818683;
2018-01-31;5.379973;
2018-02-28;5.031845;
2018-03-31;4.772177;
2018-04-30;4.258889;
2018-05-31;4.255511;
2018-06-30;4.468889;
2018-07-31;5.291801;
2018-08-31;4.881183;
2018-09-30;4.6675;
2018-10-31;5.306989;
2018-11-30;5.704861;
2018-12-31;5.540054;
2019-01-31;5.184409;
2019-02-28;4.702649;
2019-03-31;6.091417;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;4.568952;
2019-08-31;4.731452;
2019-09-30;4.795278;
2019-10-31;5.298387;
2019-11-30;4.714583;
2019-12-31;5.14664;
2020-01-31;5.161962;
2020-02-29;5.644684;
2020-03-31;4.996774;
2020-04-30;5.766667;
2020-05-31;4.876344;
2020-06-30;4.344444;
2020-07-31;4.280645;
2020-08-31;4.202419;
2020-09-30;5.142222;
2020-10-31;6.183333;
2020-11-30;5.456944;
2020-12-31;5.890188;
2021-01-31;5.762366;
2021-02-28;5.378423;
2021-03-31;5.33871;
2021-04-30;4.862917;
2021-05-31;4.645565;
2021-06-30;5.029583;
2021-07-31;4.107392;
2021-08-31;4.109543;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;4.28393;
2022-08-31;4.520313;
2022-09-30;5.001766;
2022-10-31;5.810381;
2022-11-30;4.787639;
2022-12-31;5.393817;

