Nome: TANGARA DA SERRA
Codigo Estacao: A902
Latitude: -14.65
Longitude: -57.43166666
Altitude: 440.01
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;
2004-02-29;null;
2004-03-31;2.662728;
2004-04-30;2.674269;
2004-05-31;3.061828;
2004-06-30;3.068364;
2004-07-31;3.263692;
2004-08-31;3.17029;
2004-09-30;3.055374;
2004-10-31;3.1893;
2004-11-30;2.849152;
2004-12-31;2.823614;
2005-01-31;2.930273;
2005-02-28;2.555263;
2005-03-31;2.607419;
2005-04-30;2.924779;
2005-05-31;3.334011;
2005-06-30;3.37042;
2005-07-31;3.786873;
2005-08-31;3.64156;
2005-09-30;3.635641;
2005-10-31;2.993071;
2005-11-30;2.772639;
2005-12-31;3.00672;
2006-01-31;2.744892;
2006-02-28;2.54251;
2006-03-31;2.327299;
2006-04-30;2.44453;
2006-05-31;null;
2006-06-30;2.941497;
2006-07-31;3.229952;
2006-08-31;null;
2006-09-30;3.019591;
2006-10-31;2.684508;
2006-11-30;2.936286;
2006-12-31;2.546351;
2007-01-31;2.633172;
2007-02-28;2.569643;
2007-03-31;2.319735;
2007-04-30;2.462639;
2007-05-31;2.925301;
2007-06-30;2.987862;
2007-07-31;3.290418;
2007-08-31;3.484397;
2007-09-30;2.88375;
2007-10-31;2.636723;
2007-11-30;2.912202;
2007-12-31;2.750941;
2008-01-31;2.550806;
2008-02-29;2.503448;
2008-03-31;2.189352;
2008-04-30;2.472494;
2008-05-31;2.915311;
2008-06-30;2.589173;
2008-07-31;3.138575;
2008-08-31;3.217952;
2008-09-30;3.405;
2008-10-31;3.082392;
2008-11-30;2.791196;
2008-12-31;2.728898;
2009-01-31;2.708082;
2009-02-28;2.585629;
2009-03-31;2.088575;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;2.698537;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;2.868382;
2010-05-31;3.272963;
2010-06-30;2.989583;
2010-07-31;null;
2010-08-31;null;
2010-09-30;3.324861;
2010-10-31;null;
2010-11-30;3.061721;
2010-12-31;2.69097;
2011-01-31;2.72836;
2011-02-28;null;
2011-03-31;2.493327;
2011-04-30;2.456222;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;3.084167;
2011-10-31;2.860887;
2011-11-30;2.518889;
2011-12-31;2.331317;
2012-01-31;2.562231;
2012-02-29;2.353017;
2012-03-31;2.120968;
2012-04-30;2.017361;
2012-05-31;2.27715;
2012-06-30;2.503333;
2012-07-31;2.698118;
2012-08-31;3.319451;
2012-09-30;2.766667;
2012-10-31;2.569892;
2012-11-30;2.358333;
2012-12-31;2.515054;
2013-01-31;2.214543;
2013-02-28;null;
2013-03-31;2.033871;
2013-04-30;2.092083;
2013-05-31;2.400941;
2013-06-30;2.221061;
2013-07-31;2.857515;
2013-08-31;3.500538;
2013-09-30;2.9025;
2013-10-31;2.500403;
2013-11-30;2.641759;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;2.032661;
2014-04-30;2.054861;
2014-05-31;2.310618;
2014-06-30;2.583472;
2014-07-31;2.621774;
2014-08-31;2.783468;
2014-09-30;2.556528;
2014-10-31;2.507258;
2014-11-30;2.435278;
2014-12-31;null;
2015-01-31;2.104549;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;2.085069;
2015-06-30;2.495556;
2015-07-31;2.058468;
2015-08-31;2.202151;
2015-09-30;2.226111;
2015-10-31;2.108333;
2015-11-30;1.620278;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;1.454301;
2016-04-30;1.780972;
2016-05-31;.513844;
2016-06-30;0;
2016-07-31;.000134;
2016-08-31;.94825;
2016-09-30;.967167;
2016-10-31;.952411;
2016-11-30;null;
2016-12-31;0;
2017-01-31;0;
2017-02-28;0;
2017-03-31;0;
2017-04-30;0;
2017-05-31;0;
2017-06-30;.000278;
2017-07-31;.000538;
2017-08-31;.024059;
2017-09-30;.010972;
2017-10-31;1.458545;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;2.533611;
2018-07-31;2.563172;
2018-08-31;2.80336;
2018-09-30;2.654861;
2018-10-31;2.272312;
2018-11-30;2.225556;
2018-12-31;2.163844;
2019-01-31;2.112231;
2019-02-28;2.055804;
2019-03-31;2.148925;
2019-04-30;1.800417;
2019-05-31;2.113172;
2019-06-30;2.553889;
2019-07-31;2.73172;
2019-08-31;3.206989;
2019-09-30;2.711528;
2019-10-31;2.561828;
2019-11-30;2.30375;
2019-12-31;2.027016;
2020-01-31;2.150403;
2020-02-29;1.987787;
2020-03-31;1.870565;
2020-04-30;2.016944;
2020-05-31;2.347446;
2020-06-30;2.5475;
2020-07-31;2.736425;
2020-08-31;2.876747;
2020-09-30;2.558333;
2020-10-31;2.454839;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;2.751389;
2021-09-30;2.298321;
2021-10-31;2.664247;
2021-11-30;2.270278;
2021-12-31;1.639891;
2022-01-31;null;
2022-02-28;null;
2022-03-31;1.712366;
2022-04-30;1.976472;
2022-05-31;2.094086;
2022-06-30;1.79;
2022-07-31;1.841801;
2022-08-31;2.564247;
2022-09-30;2.344306;
2022-10-31;2.427419;
2022-11-30;2.42875;
2022-12-31;1.947849;

