Nome: S.J. DO RIO CLARO
Codigo Estacao: A903
Latitude: -13.45388888
Longitude: -56.67722221
Altitude: 339.59
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;1.872762;
2004-02-29;1.396408;
2004-03-31;1.247446;
2004-04-30;1.244366;
2004-05-31;1.622446;
2004-06-30;1.207349;
2004-07-31;1.32486;
2004-08-31;1.326794;
2004-09-30;1.403195;
2004-10-31;1.498259;
2004-11-30;1.44116;
2004-12-31;1.485455;
2005-01-31;1.522846;
2005-02-28;1.36964;
2005-03-31;1.431739;
2005-04-30;1.421187;
2005-05-31;1.255227;
2005-06-30;1.236143;
2005-07-31;1.647884;
2005-08-31;1.33974;
2005-09-30;1.838932;
2005-10-31;1.607438;
2005-11-30;1.565139;
2005-12-31;1.651145;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;null;
2006-10-31;1.33377;
2006-11-30;1.461431;
2006-12-31;1.471377;
2007-01-31;1.424369;
2007-02-28;1.507376;
2007-03-31;1.148382;
2007-04-30;1.171969;
2007-05-31;1.327103;
2007-06-30;1.112597;
2007-07-31;1.374577;
2007-08-31;1.505558;
2007-09-30;1.163514;
2007-10-31;1.475993;
2007-11-30;1.633055;
2007-12-31;1.533889;
2008-01-31;1.5071;
2008-02-29;1.46846;
2008-03-31;1.257602;
2008-04-30;1.302083;
2008-05-31;1.316743;
2008-06-30;1.248218;
2008-07-31;1.073656;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;1.25087;
2009-04-30;1.0973;
2009-05-31;1.005028;
2009-06-30;1.223349;
2009-07-31;1.144739;
2009-08-31;1.31586;
2009-09-30;1.520417;
2009-10-31;1.350808;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;1.113111;
2011-04-30;.94125;
2011-05-31;1.106452;
2011-06-30;.963889;
2011-07-31;1.040995;
2011-08-31;1.160215;
2011-09-30;1.214861;
2011-10-31;1.177285;
2011-11-30;1.1425;
2011-12-31;1.120833;
2012-01-31;1.281317;
2012-02-29;1.152874;
2012-03-31;1.061559;
2012-04-30;.818889;
2012-05-31;.847446;
2012-06-30;.888333;
2012-07-31;1;
2012-08-31;1.093817;
2012-09-30;1.100139;
2012-10-31;1.143817;
2012-11-30;1.189306;
2012-12-31;1.18296;
2013-01-31;null;
2013-02-28;null;
2013-03-31;1.04875;
2013-04-30;.964583;
2013-05-31;.903898;
2013-06-30;.803409;
2013-07-31;1.090486;
2013-08-31;1.277823;
2013-09-30;1.150556;
2013-10-31;1.182661;
2013-11-30;1.085556;
2013-12-31;1.339113;
2014-01-31;1.035753;
2014-02-28;1.218155;
2014-03-31;.926075;
2014-04-30;.855833;
2014-05-31;.887769;
2014-06-30;.975139;
2014-07-31;.997581;
2014-08-31;.93078;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;1.034409;
2015-01-31;.87559;
2015-02-28;1.18378;
2015-03-31;1.044892;
2015-04-30;.710833;
2015-05-31;.799059;
2015-06-30;.848195;
2015-07-31;.912769;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;1.362853;
2016-02-29;.882434;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;.802151;
2017-02-28;.934375;
2017-03-31;.713978;
2017-04-30;.603219;
2017-05-31;.551613;
2017-06-30;.656111;
2017-07-31;.88871;
2017-08-31;.768952;
2017-09-30;.83375;
2017-10-31;1.250941;
2017-11-30;1.077687;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;.841505;
2018-07-31;.768548;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;0;
2019-10-31;0;
2019-11-30;0;
2019-12-31;0;
2020-01-31;0;
2020-02-29;0;
2020-03-31;0;
2020-04-30;0;
2020-05-31;0;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;0;
2020-10-31;0;
2020-11-30;0;
2020-12-31;0;
2021-01-31;0;
2021-02-28;0;
2021-03-31;0;
2021-04-30;null;
2021-05-31;0;
2021-06-30;0;
2021-07-31;0;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;.908992;
2022-06-30;.949246;
2022-07-31;.962945;
2022-08-31;1.063186;
2022-09-30;1.224139;
2022-10-31;1.214162;
2022-11-30;1.272613;
2022-12-31;1.443431;

