Nome: CAMPO NOVO DOS PARECIS
Codigo Estacao: A905
Latitude: -13.78583333
Longitude: -57.8386111
Altitude: 525.41
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;1.693063;
2004-02-29;1.47961;
2004-03-31;null;
2004-04-30;1.289783;
2004-05-31;1.515322;
2004-06-30;1.429354;
2004-07-31;1.558503;
2004-08-31;1.491445;
2004-09-30;1.642325;
2004-10-31;1.630814;
2004-11-30;1.419198;
2004-12-31;1.442855;
2005-01-31;1.494337;
2005-02-28;1.331673;
2005-03-31;1.446175;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;null;
2006-10-31;1.430411;
2006-11-30;1.616443;
2006-12-31;1.512759;
2007-01-31;1.551578;
2007-02-28;1.575967;
2007-03-31;0;
2007-04-30;0;
2007-05-31;.062634;
2007-06-30;0;
2007-07-31;0;
2007-08-31;0;
2007-09-30;1.458213;
2007-10-31;1.529167;
2007-11-30;1.659834;
2007-12-31;1.043373;
2008-01-31;0;
2008-02-29;.296983;
2008-03-31;0;
2008-04-30;0;
2008-05-31;.187231;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;null;
2008-10-31;1.852688;
2008-11-30;.240517;
2008-12-31;.422043;
2009-01-31;1.440188;
2009-02-28;1.467262;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;1.977554;
2010-08-31;1.832041;
2010-09-30;2.069861;
2010-10-31;2.080914;
2010-11-30;1.731603;
2010-12-31;null;
2011-01-31;null;
2011-02-28;1.383872;
2011-03-31;1.58034;
2011-04-30;1.334445;
2011-05-31;1.958199;
2011-06-30;1.709583;
2011-07-31;1.804005;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;1.465591;
2012-04-30;1.418611;
2012-05-31;1.544355;
2012-06-30;1.719445;
2012-07-31;1.84086;
2012-08-31;1.904533;
2012-09-30;1.874306;
2012-10-31;1.856989;
2012-11-30;null;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;1.505566;
2013-04-30;1.605449;
2013-05-31;1.67836;
2013-06-30;1.277261;
2013-07-31;1.919828;
2013-08-31;2.416129;
2013-09-30;1.978889;
2013-10-31;1.630914;
2013-11-30;1.693889;
2013-12-31;1.787097;
2014-01-31;1.456452;
2014-02-28;1.471577;
2014-03-31;1.447984;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;1.599444;
2014-10-31;1.590591;
2014-11-30;1.673472;
2014-12-31;1.612769;
2015-01-31;1.473212;
2015-02-28;1.699256;
2015-03-31;1.419489;
2015-04-30;1.2925;
2015-05-31;1.604167;
2015-06-30;1.479444;
2015-07-31;null;
2015-08-31;null;
2015-09-30;1.938333;
2015-10-31;1.991532;
2015-11-30;1.725556;
2015-12-31;1.583199;
2016-01-31;1.768952;
2016-02-29;1.266523;
2016-03-31;1.246371;
2016-04-30;1.483889;
2016-05-31;1.629973;
2016-06-30;1.665556;
2016-07-31;1.376075;
2016-08-31;1.800341;
2016-09-30;2.078889;
2016-10-31;1.645781;
2016-11-30;1.610694;
2016-12-31;1.65457;
2017-01-31;1.270027;
2017-02-28;1.481101;
2017-03-31;1.173118;
2017-04-30;1.513333;
2017-05-31;1.391129;
2017-06-30;1.555417;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;1.650556;
2017-12-31;1.58293;
2018-01-31;1.382661;
2018-02-28;1.500446;
2018-03-31;1.31707;
2018-04-30;1.204167;
2018-05-31;1.508333;
2018-06-30;2.002917;
2018-07-31;1.819086;
2018-08-31;2.22043;
2018-09-30;1.819306;
2018-10-31;1.40578;
2018-11-30;1.493333;
2018-12-31;1.681586;
2019-01-31;1.389919;
2019-02-28;1.590923;
2019-03-31;1.495161;
2019-04-30;1.275972;
2019-05-31;1.608468;
2019-06-30;1.537797;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;1.780917;
2019-11-30;1.613573;
2019-12-31;1.409946;
2020-01-31;1.725538;
2020-02-29;1.531753;
2020-03-31;1.267339;
2020-04-30;1.495556;
2020-05-31;1.710081;
2020-06-30;1.628333;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;1.685511;
2020-12-31;1.62379;
2021-01-31;1.378226;
2021-02-28;1.488244;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;1.865968;
2022-06-30;1.854393;
2022-07-31;1.634354;
2022-08-31;2.21661;
2022-09-30;2.13375;
2022-10-31;1.874462;
2022-11-30;2.138611;
2022-12-31;1.754704;

