Nome: GUARANTA DO NORTE
Codigo Estacao: A906
Latitude: -9.9525
Longitude: -54.89777777
Altitude: 283.58
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;1.970033;
2004-02-29;1.530778;
2004-03-31;1.471237;
2004-04-30;1.317156;
2004-05-31;1.504301;
2004-06-30;1.632391;
2004-07-31;1.701064;
2004-08-31;1.612593;
2004-09-30;1.531769;
2004-10-31;1.646237;
2004-11-30;1.532302;
2004-12-31;1.654307;
2005-01-31;1.554798;
2005-02-28;1.601382;
2005-03-31;1.533878;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;1.398822;
2007-07-31;1.387983;
2007-08-31;1.512103;
2007-09-30;1.288551;
2007-10-31;1.486962;
2007-11-30;1.591518;
2007-12-31;1.527016;
2008-01-31;1.50336;
2008-02-29;1.551006;
2008-03-31;1.364969;
2008-04-30;1.36625;
2008-05-31;1.252308;
2008-06-30;1.304394;
2008-07-31;1.537634;
2008-08-31;1.429973;
2008-09-30;1.585344;
2008-10-31;1.418145;
2008-11-30;1.571824;
2008-12-31;1.517473;
2009-01-31;1.517099;
2009-02-28;1.422024;
2009-03-31;1.366667;
2009-04-30;1.297083;
2009-05-31;1.195565;
2009-06-30;1.374444;
2009-07-31;1.438441;
2009-08-31;1.600672;
2009-09-30;1.538194;
2009-10-31;1.5625;
2009-11-30;1.417222;
2009-12-31;1.427823;
2010-01-31;1.343414;
2010-02-28;1.452381;
2010-03-31;1.525403;
2010-04-30;1.280556;
2010-05-31;1.37043;
2010-06-30;1.39375;
2010-07-31;1.620296;
2010-08-31;1.407222;
2010-09-30;1.3375;
2010-10-31;1.62836;
2010-11-30;1.610139;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;1.204167;
