Nome: AGUA BOA
Codigo Estacao: A908
Latitude: -14.01638888
Longitude: -52.21166666
Altitude: 440
Situacao: Operante
Data Inicial: 2006-12-15
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-12-31;null;
2007-01-31;2.346659;
2007-02-28;2.743304;
2007-03-31;2.069361;
2007-04-30;1.905833;
2007-05-31;2.623856;
2007-06-30;2.500332;
2007-07-31;2.778728;
2007-08-31;3.347113;
2007-09-30;3.154583;
2007-10-31;2.722014;
2007-11-30;2.650149;
2007-12-31;2.370699;
2008-01-31;2.36828;
2008-02-29;2.241379;
2008-03-31;1.993981;
2008-04-30;1.80125;
2008-05-31;2.232281;
2008-06-30;2.337083;
2008-07-31;2.664919;
2008-08-31;2.803898;
2008-09-30;2.860278;
2008-10-31;2.774194;
2008-11-30;2.41651;
2008-12-31;2.633737;
2009-01-31;2.221464;
2009-02-28;2.039867;
2009-03-31;1.924731;
2009-04-30;1.853194;
2009-05-31;1.817608;
2009-06-30;2.224444;
2009-07-31;2.38414;
2009-08-31;2.938306;
2009-09-30;2.355417;
2009-10-31;2.2875;
2009-11-30;2.010417;
2009-12-31;2.350941;
2010-01-31;2.056671;
2010-02-28;1.757292;
2010-03-31;1.81922;
2010-04-30;1.639722;
2010-05-31;2.144758;
2010-06-30;1.072361;
2010-07-31;2.081013;
2010-08-31;2.812772;
2010-09-30;3.085417;
2010-10-31;2.491667;
2010-11-30;2.298889;
2010-12-31;2.291398;
2011-01-31;2.325806;
2011-02-28;1.902827;
2011-03-31;2.061903;
2011-04-30;null;
2011-05-31;2.183333;
2011-06-30;2.350833;
2011-07-31;2.526344;
2011-08-31;2.79422;
2011-09-30;3.003056;
2011-10-31;2.571237;
2011-11-30;2.555278;
2011-12-31;2.424059;
2012-01-31;2.350672;
2012-02-29;2.108621;
2012-03-31;1.938979;
2012-04-30;1.70625;
2012-05-31;2.244624;
2012-06-30;2.348056;
2012-07-31;2.47621;
2012-08-31;3.310599;
2012-09-30;2.718333;
2012-10-31;2.448118;
2012-11-30;2.432083;
2012-12-31;2.091532;
2013-01-31;2.344086;
2013-02-28;1.885565;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;2.085076;
2013-07-31;2.670594;
2013-08-31;3.045699;
2013-09-30;2.954861;
2013-10-31;2.612231;
2013-11-30;2.285972;
2013-12-31;2.545327;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;2.456806;
2014-07-31;2.86129;
2014-08-31;2.747446;
2014-09-30;2.555139;
2014-10-31;2.591801;
2014-11-30;2.309583;
2014-12-31;2.279435;
2015-01-31;1.965293;
2015-02-28;2.489732;
2015-03-31;2.005376;
2015-04-30;1.405972;
2015-05-31;1.9625;
2015-06-30;2.088472;
2015-07-31;2.457778;
2015-08-31;2.72053;
2015-09-30;2.530822;
2015-10-31;2.649919;
2015-11-30;2.198889;
2015-12-31;2.135134;
2016-01-31;2.745296;
2016-02-29;1.7744;
2016-03-31;2.103799;
2016-04-30;2.048503;
2016-05-31;2.137769;
2016-06-30;2.350556;
2016-07-31;2.512722;
2016-08-31;2.729238;
2016-09-30;2.81149;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;2.185484;
2017-02-28;2.030655;
2017-03-31;1.75914;
2017-04-30;1.846389;
2017-05-31;1.693548;
2017-06-30;2.314861;
2017-07-31;2.820699;
2017-08-31;2.563441;
2017-09-30;3.26625;
2017-10-31;2.945968;
2017-11-30;2.429028;
2017-12-31;2.427688;
2018-01-31;2.056855;
2018-02-28;2.151488;
2018-03-31;1.790995;
2018-04-30;1.931806;
2018-05-31;2.016398;
2018-06-30;2.335417;
2018-07-31;null;
2018-08-31;null;
2018-09-30;2.78938;
2018-10-31;2.146583;
2018-11-30;2.420417;
2018-12-31;2.453495;
2019-01-31;1.939113;
2019-02-28;2.326488;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;1.729722;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

