Nome: SAPEZAL
Codigo Estacao: A911
Latitude: -13.30388888
Longitude: -58.76333333
Altitude: 105
Situacao: Pane
Data Inicial: 2017-10-19
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;null;
2017-11-30;2.622713;
2017-12-31;2.522206;
2018-01-31;2.34706;
2018-02-28;3.115172;
2018-03-31;2.538612;
2018-04-30;1.975864;
2018-05-31;2.517925;
2018-06-30;2.970313;
2018-07-31;3.071237;
2018-08-31;3.300403;
2018-09-30;3.129343;
2018-10-31;2.650479;
2018-11-30;2.344668;
2018-12-31;2.481195;
2019-01-31;2.744355;
2019-02-28;2.979086;
2019-03-31;2.564382;
2019-04-30;2.027012;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;3.663228;
2019-09-30;3.165833;
2019-10-31;2.793355;
2019-11-30;2.327029;
2019-12-31;2.09557;
2020-01-31;3.01586;
2020-02-29;2.916304;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;2.145556;
2020-07-31;2.749866;
2020-08-31;3.606855;
2020-09-30;3.204185;
2020-10-31;3.260934;
2020-11-30;2.329976;
2020-12-31;2.328366;
2021-01-31;2.561339;
2021-02-28;2.999781;
2021-03-31;2.494736;
2021-04-30;2.184583;
2021-05-31;2.488306;
2021-06-30;2.730556;
2021-07-31;3.14785;
2021-08-31;3.282124;
2021-09-30;3.013665;
2021-10-31;3.155725;
2021-11-30;2.231781;
2021-12-31;2.400153;
2022-01-31;2.847721;
2022-02-28;3.025633;
2022-03-31;2.538205;
2022-04-30;2.535513;
2022-05-31;2.963038;
2022-06-30;2.934801;
2022-07-31;3.182527;
2022-08-31;3.705762;
2022-09-30;3.481426;
2022-10-31;2.982986;
2022-11-30;null;
2022-12-31;null;

