Nome: PARANATINGA
Codigo Estacao: A915
Latitude: -14.42138888
Longitude: -54.0361111
Altitude: 476.91
Situacao: Pane
Data Inicial: 2006-12-18
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-12-31;null;
2007-01-31;1.861962;
2007-02-28;2.274702;
2007-03-31;1.511191;
2007-04-30;1.424583;
2007-05-31;1.763817;
2007-06-30;1.464928;
2007-07-31;1.854844;
2007-08-31;2.065247;
2007-09-30;1.880278;
2007-10-31;2.123574;
2007-11-30;1.968889;
2007-12-31;1.865323;
2008-01-31;1.962769;
2008-02-29;1.83319;
2008-03-31;1.642438;
2008-04-30;1.564444;
2008-05-31;1.59737;
2008-06-30;1.521431;
2008-07-31;1.62957;
2008-08-31;1.938978;
2008-09-30;2.263056;
2008-10-31;2.100134;
2008-11-30;1.949716;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;2.074583;
2010-10-31;2.167339;
2010-11-30;1.873611;
2010-12-31;1.853763;
2011-01-31;1.806989;
2011-02-28;1.867411;
2011-03-31;1.648846;
2011-04-30;1.368056;
2011-05-31;1.620565;
2011-06-30;1.749028;
2011-07-31;1.82621;
2011-08-31;null;
2011-09-30;null;
2011-10-31;1.956048;
2011-11-30;1.967361;
2011-12-31;1.808737;
2012-01-31;2.040726;
2012-02-29;1.636351;
2012-03-31;1.514919;
2012-04-30;1.409167;
2012-05-31;1.519489;
2012-06-30;1.545695;
2012-07-31;1.747446;
2012-08-31;2.150979;
2012-09-30;1.906528;
2012-10-31;1.932392;
2012-11-30;1.8675;
2012-12-31;1.757796;
2013-01-31;1.818952;
2013-02-28;1.552976;
2013-03-31;1.4705;
2013-04-30;1.401667;
2013-05-31;1.308065;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;1.878091;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;1.678898;
2014-04-30;1.3725;
2014-05-31;1.413979;
2014-06-30;1.516667;
2014-07-31;1.85914;
2014-08-31;1.860887;
2014-09-30;1.944692;
2014-10-31;1.768548;
2014-11-30;1.745556;
2014-12-31;1.622177;
2015-01-31;1.412634;
2015-02-28;1.921429;
2015-03-31;1.503495;
2015-04-30;1.194167;
2015-05-31;1.37957;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;2.142987;
2015-10-31;2.179113;
2015-11-30;1.639861;
2015-12-31;1.628092;
2016-01-31;2.045296;
2016-02-29;1.41796;
2016-03-31;1.468414;
2016-04-30;1.498472;
2016-05-31;1.30619;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;1.916003;
2016-11-30;1.834444;
2016-12-31;1.651613;
2017-01-31;1.399462;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;0;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;1.532636;
2019-04-30;1.031389;
2019-05-31;1.243817;
2019-06-30;1.392083;
2019-07-31;1.513862;
2019-08-31;1.940586;
2019-09-30;.955417;
2019-10-31;0;
2019-11-30;0;
2019-12-31;0;
2020-01-31;0;
2020-02-29;0;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;.962397;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

