Nome: COTRIGUACU
Codigo Estacao: A919
Latitude: -9.90638888
Longitude: -58.57222221
Altitude: 265
Situacao: Operante
Data Inicial: 2007-05-27
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;null;
2007-06-30;1.142174;
2007-07-31;1.242997;
2007-08-31;1.275561;
2007-09-30;.939028;
2007-10-31;1.175497;
2007-11-30;1.174851;
2007-12-31;1.139247;
2008-01-31;1.101882;
2008-02-29;1.100862;
2008-03-31;1.033951;
2008-04-30;1.082083;
2008-05-31;1.354909;
2008-06-30;1.278261;
2008-07-31;1.135081;
2008-08-31;1.068817;
2008-09-30;1.311944;
2008-10-31;1.148925;
2008-11-30;1.09221;
2008-12-31;1.147984;
2009-01-31;1.094811;
2009-02-28;1.062;
2009-03-31;1.0125;
2009-04-30;1.008472;
2009-05-31;.957527;
2009-06-30;1.293333;
2009-07-31;1.140054;
2009-08-31;1.260887;
2009-09-30;1.211679;
2009-10-31;1.142816;
2009-11-30;1.068611;
2009-12-31;1.046102;
2010-01-31;1.080132;
2010-02-28;1.093601;
2010-03-31;1.074462;
2010-04-30;1.126806;
2010-05-31;1.265726;
2010-06-30;1.21625;
2010-07-31;1.274866;
2010-08-31;1.344022;
2010-09-30;1.1125;
2010-10-31;1.134274;
2010-11-30;1.1475;
2010-12-31;1.153226;
2011-01-31;1.086022;
2011-02-28;1.137649;
2011-03-31;1.117997;
2011-04-30;.936111;
2011-05-31;1.298656;
2011-06-30;1.186667;
2011-07-31;1.176613;
2011-08-31;1.309005;
2011-09-30;1.138056;
2011-10-31;1.179301;
2011-11-30;1.142222;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;1.040661;
2012-04-30;.96875;
2012-05-31;1.087634;
2012-06-30;1.087917;
2012-07-31;1.254704;
2012-08-31;1.240015;
2012-09-30;1.16;
2012-10-31;1.050403;
2012-11-30;1.078194;
2012-12-31;1.088306;
2013-01-31;1.128091;
2013-02-28;1.057678;
2013-03-31;1.045444;
2013-04-30;1.150456;
2013-05-31;1.005242;
2013-06-30;.915341;
2013-07-31;1.228226;
2013-08-31;1.494892;
2013-09-30;1.189306;
2013-10-31;1.16035;
2013-11-30;1.145;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;1.097083;
2014-07-31;1.245833;
2014-08-31;1.101882;
2014-09-30;1.027361;
2014-10-31;1.100134;
2014-11-30;1.065833;
2014-12-31;1.09115;
2015-01-31;null;
2015-02-28;1.165984;
2015-03-31;null;
2015-04-30;.917862;
2015-05-31;1.054032;
2015-06-30;1.118889;
2015-07-31;1.092876;
2015-08-31;1.024194;
2015-09-30;1.137666;
2015-10-31;1.133882;
2015-11-30;1.052936;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;1.230278;
2016-07-31;1.116801;
2016-08-31;1.185081;
2016-09-30;1.3675;
2016-10-31;1.162044;
2016-11-30;1.165;
2016-12-31;1.10914;
2017-01-31;1.135887;
2017-02-28;1.261458;
2017-03-31;1.077554;
2017-04-30;1.140417;
2017-05-31;.956452;
2017-06-30;1.137361;
2017-07-31;1.374328;
2017-08-31;1.075;
2017-09-30;1.135833;
2017-10-31;1.258602;
2017-11-30;1.069028;
2017-12-31;1.224328;
2018-01-31;1.144892;
2018-02-28;1.313031;
2018-03-31;1.081183;
2018-04-30;1.124306;
2018-05-31;1.152016;
2018-06-30;1.468966;
2018-07-31;1.333602;
2018-08-31;1.330511;
2018-09-30;1.281528;
2018-10-31;1.123521;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;.683993;
2019-03-31;.552442;
2019-04-30;.746129;
2019-05-31;1.060834;
2019-06-30;null;
2019-07-31;null;
2019-08-31;1.365155;
2019-09-30;1.03077;
2019-10-31;1.065753;
2019-11-30;1.027234;
2019-12-31;1.038421;
2020-01-31;1.245002;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;1.297778;
2022-12-31;1.188306;

