Nome: PRIMAVERA DO LESTE
Codigo Estacao: A923
Latitude: -15.57999999
Longitude: -54.3811111
Altitude: 680
Situacao: Operante
Data Inicial: 2017-10-25
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;null;
2017-11-30;3.161138;
2017-12-31;2.881819;
2018-01-31;2.61018;
2018-02-28;2.439681;
2018-03-31;2.283483;
2018-04-30;1.875362;
2018-05-31;2.335443;
2018-06-30;2.878889;
2018-07-31;2.788172;
2018-08-31;3.373387;
2018-09-30;3.0825;
2018-10-31;2.831855;
2018-11-30;3.081806;
2018-12-31;2.701882;
2019-01-31;2.655511;
2019-02-28;2.746875;
2019-03-31;2.521371;
2019-04-30;1.726806;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;2.154508;
2020-01-31;2.648264;
2020-02-29;2.606721;
2020-03-31;2.471897;
2020-04-30;1.99875;
2020-05-31;2.375672;
2020-06-30;2.789306;
2020-07-31;3.090726;
2020-08-31;3.756757;
2020-09-30;3.286618;
2020-10-31;3.288582;
2020-11-30;2.928945;
2020-12-31;2.517965;
2021-01-31;2.406987;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;1.765237;
2022-05-31;2.25;
2022-06-30;2.26939;
2022-07-31;2.866793;
2022-08-31;3.199756;
2022-09-30;3.4983;
2022-10-31;3.069997;
2022-11-30;3.018471;
2022-12-31;2.817459;

