Nome: CARLINDA
Codigo Estacao: A926
Latitude: -9.97055554
Longitude: -55.82749999
Altitude: 293.71
Situacao: Operante
Data Inicial: 2008-04-08
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;
2008-05-31;1.522844;
2008-06-30;1.61697;
2008-07-31;1.847177;
2008-08-31;1.619355;
2008-09-30;1.677639;
2008-10-31;1.494624;
2008-11-30;1.155791;
2008-12-31;1.436022;
2009-01-31;1.333415;
2009-02-28;1.28263;
2009-03-31;1.25578;
2009-04-30;1.125556;
2009-05-31;1.024597;
2009-06-30;1.26875;
2009-07-31;1.305914;
2009-08-31;1.490995;
2009-09-30;1.245278;
2009-10-31;1.141379;
2009-11-30;1.25375;
2009-12-31;1.309812;
2010-01-31;1.276466;
2010-02-28;1.138988;
2010-03-31;1.166667;
2010-04-30;1.018889;
2010-05-31;1.128226;
2010-06-30;1.500278;
2010-07-31;1.666398;
2010-08-31;1.711153;
2010-09-30;1.259167;
2010-10-31;1.332392;
2010-11-30;1.233472;
2010-12-31;1.382392;
2011-01-31;1.355108;
2011-02-28;1.146429;
2011-03-31;.76777;
2011-04-30;.436806;
2011-05-31;.836156;
2011-06-30;.236111;
2011-07-31;.154301;
2011-08-31;.096774;
2011-09-30;1.458333;
2011-10-31;1.598955;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;1.513333;
2012-04-30;1.37125;
2012-05-31;1.617742;
2012-06-30;1.520833;
2012-07-31;1.743952;
2012-08-31;2.025653;
2012-09-30;1.791528;
2012-10-31;1.671505;
2012-11-30;1.634306;
2012-12-31;1.539651;
2013-01-31;1.706317;
2013-02-28;1.458631;
2013-03-31;null;
2013-04-30;null;
2013-05-31;1.251344;
2013-06-30;1.266199;
2013-07-31;1.566801;
2013-08-31;1.743414;
2013-09-30;1.529861;
2013-10-31;1.323253;
2013-11-30;1.142778;
2013-12-31;1.485618;
2014-01-31;1.323118;
2014-02-28;1.404315;
2014-03-31;1.152151;
2014-04-30;1.002917;
2014-05-31;1.163979;
2014-06-30;1.570417;
2014-07-31;1.683871;
2014-08-31;1.670027;
2014-09-30;1.41875;
2014-10-31;1.421505;
2014-11-30;1.383333;
2014-12-31;1.312634;
2015-01-31;1.340007;
2015-02-28;1.526935;
2015-03-31;1.361425;
2015-04-30;.994445;
2015-05-31;.949328;
2015-06-30;1.098056;
2015-07-31;1.371505;
2015-08-31;1.146102;
2015-09-30;1.057778;
2015-10-31;.826479;
2015-11-30;.496389;
2015-12-31;.566129;
2016-01-31;1.038441;
2016-02-29;.886638;
2016-03-31;.87379;
2016-04-30;.988194;
2016-05-31;.900403;
2016-06-30;1.100972;
2016-07-31;1.232258;
2016-08-31;1.187231;
2016-09-30;.814861;
2016-10-31;.878954;
2016-11-30;null;
2016-12-31;null;
2017-01-31;.854032;
2017-02-28;.991071;
2017-03-31;.910484;
2017-04-30;1.124306;
2017-05-31;1.171075;
2017-06-30;1.260694;
2017-07-31;1.397581;
2017-08-31;.715322;
2017-09-30;.959828;
2017-10-31;.888228;
2017-11-30;.67625;
2017-12-31;1.025134;
2018-01-31;.774731;
2018-02-28;1.465476;
2018-03-31;1.33293;
2018-04-30;.752917;
2018-05-31;.81035;
2018-06-30;.674167;
2018-07-31;.810081;
2018-08-31;.604301;
2018-09-30;.8325;
2018-10-31;.284274;
2018-11-30;.586528;
2018-12-31;.841129;
2019-01-31;.425134;
2019-02-28;.522024;
2019-03-31;1.054973;
2019-04-30;.883611;
2019-05-31;.533199;
2019-06-30;.869306;
2019-07-31;.6625;
2019-08-31;.592607;
2019-09-30;.470139;
2019-10-31;.73414;
2019-11-30;.384028;
2019-12-31;.19879;
2020-01-31;.535887;
2020-02-29;.290086;
2020-03-31;.288441;
2020-04-30;.213889;
2020-05-31;.227554;
2020-06-30;.542083;
2020-07-31;.547043;
2020-08-31;.51129;
2020-09-30;.484028;
2020-10-31;.350538;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;1.56;
2022-12-31;1.633468;

