Nome: NOVA MARINGA
Codigo Estacao: A928
Latitude: -13.0386111
Longitude: -57.09222221
Altitude: 334.36
Situacao: Pane
Data Inicial: 2008-04-15
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;
2008-05-31;1.692876;
2008-06-30;1.442043;
2008-07-31;1.408064;
2008-08-31;null;
2008-09-30;null;
2008-10-31;1.562635;
2008-11-30;1.546286;
2008-12-31;1.340726;
2009-01-31;1.432831;
2009-02-28;1.443642;
2009-03-31;1.259812;
2009-04-30;1.257917;
2009-05-31;1.306317;
2009-06-30;1.536111;
2009-07-31;1.270699;
2009-08-31;1.51371;
2009-09-30;1.781528;
2009-10-31;1.537644;
2009-11-30;1.51375;
2009-12-31;1.488172;
2010-01-31;1.424194;
2010-02-28;1.31503;
2010-03-31;1.104839;
2010-04-30;1.152917;
2010-05-31;1.378495;
2010-06-30;1.038195;
2010-07-31;1.504436;
2010-08-31;null;
2010-09-30;null;
2010-10-31;1.536756;
2010-11-30;1.385417;
2010-12-31;1.236828;
2011-01-31;1.275;
2011-02-28;1.079464;
2011-03-31;1.12261;
2011-04-30;.963472;
2011-05-31;1.261022;
2011-06-30;1.202222;
2011-07-31;1.332258;
2011-08-31;1.418414;
2011-09-30;1.49;
2011-10-31;1.490188;
2011-11-30;1.291528;
2011-12-31;1.109946;
2012-01-31;1.12043;
2012-02-29;1.059626;
2012-03-31;.91828;
2012-04-30;.89875;
2012-05-31;1.054839;
2012-06-30;1.069028;
2012-07-31;1.205914;
2012-08-31;1.561288;
2012-09-30;null;
2012-10-31;1.158602;
2012-11-30;.977083;
2012-12-31;.863441;
2013-01-31;.94086;
2013-02-28;.820238;
2013-03-31;.703111;
2013-04-30;.9925;
2013-05-31;1.102016;
2013-06-30;.86678;
2013-07-31;1.384409;
2013-08-31;1.6125;
2013-09-30;1.362083;
2013-10-31;1.20578;
2013-11-30;1.114861;
2013-12-31;1.184946;
2014-01-31;1.072849;
2014-02-28;1.126042;
2014-03-31;1.017473;
2014-04-30;1.123472;
2014-05-31;1.165995;
2014-06-30;1.27625;
2014-07-31;1.38629;
2014-08-31;1.320161;
2014-09-30;1.15;
2014-10-31;1.065726;
2014-11-30;.777639;
2014-12-31;.621371;
2015-01-31;.73345;
2015-02-28;1.108631;
2015-03-31;.592339;
2015-04-30;.721111;
2015-05-31;.676747;
2015-06-30;.614861;
2015-07-31;1.092742;
2015-08-31;1.162903;
2015-09-30;1.139444;
2015-10-31;1.237231;
2015-11-30;.751111;
2015-12-31;.579301;
2016-01-31;.75457;
2016-02-29;.775862;
2016-03-31;.655511;
2016-04-30;1.054861;
2016-05-31;1.111021;
2016-06-30;.867361;
2016-07-31;.979435;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;.428889;
2016-12-31;.229301;
2017-01-31;.774597;
2017-02-28;.298958;
2017-03-31;.131855;
2017-04-30;.330417;
2017-05-31;.151344;
2017-06-30;.52875;
2017-07-31;.777419;
2017-08-31;.367473;
2017-09-30;.263889;
2017-10-31;.23293;
2017-11-30;.121389;
2017-12-31;.175672;
2018-01-31;.114516;
2018-02-28;.105208;
2018-03-31;.080511;
2018-04-30;.053194;
2018-05-31;.119489;
2018-06-30;.19375;
2018-07-31;.315054;
2018-08-31;.233468;
2018-09-30;.309028;
2018-10-31;.095027;
2018-11-30;.131382;
2018-12-31;.075041;
2019-01-31;.068404;
2019-02-28;.124489;
2019-03-31;.118952;
2019-04-30;.049338;
2019-05-31;.31538;
2019-06-30;1.450694;
2019-07-31;1.520699;
2019-08-31;1.70578;
2019-09-30;1.319444;
2019-10-31;1.284274;
2019-11-30;1.201389;
2019-12-31;1.226344;
2020-01-31;1.351613;
2020-02-29;1.07342;
2020-03-31;.966801;
2020-04-30;1.025694;
2020-05-31;1.123387;
2020-06-30;1.174028;
2020-07-31;1.221909;
2020-08-31;1.439785;
2020-09-30;null;
2020-10-31;1.42836;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;1.353472;
2021-12-31;1.232527;
2022-01-31;1.465457;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;1.152016;
2022-08-31;1.527285;
2022-09-30;1.504167;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

