Nome: NOVA UBIRATA
Codigo Estacao: A929
Latitude: -13.41111111
Longitude: -54.75222222
Altitude: 466.48
Situacao: Operante
Data Inicial: 2008-04-12
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;
2008-05-31;2.877776;
2008-06-30;2.94859;
2008-07-31;3.508333;
2008-08-31;3.378125;
2008-09-30;3.603611;
2008-10-31;3.204704;
2008-11-30;2.513225;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;2.382917;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;3.366528;
2009-08-31;null;
2009-09-30;2.988056;
2009-10-31;2.575144;
2009-11-30;2.760326;
2009-12-31;2.34023;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;2.857222;
2010-07-31;3.212769;
2010-08-31;null;
2010-09-30;2.753056;
2010-10-31;2.533064;
2010-11-30;1.988194;
2010-12-31;2.05672;
2011-01-31;1.78293;
2011-02-28;1.430952;
2011-03-31;1.07066;
2011-04-30;.626667;
2011-05-31;1.291398;
2011-06-30;.722778;
2011-07-31;.852151;
2011-08-31;1.108064;
2011-09-30;1.268611;
2011-10-31;.519758;
2011-11-30;.332917;
2011-12-31;1.863441;
2012-01-31;2.682661;
2012-02-29;2.748994;
2012-03-31;2.330242;
2012-04-30;2.061945;
2012-05-31;2.543145;
2012-06-30;2.756667;
2012-07-31;3.114651;
2012-08-31;3.792032;
2012-09-30;2.912222;
2012-10-31;2.847715;
2012-11-30;2.507778;
2012-12-31;2.731452;
2013-01-31;2.428091;
2013-02-28;2.18378;
2013-03-31;2.161833;
2013-04-30;2.159306;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;3.488844;
2013-09-30;2.475;
2013-10-31;2.648925;
2013-11-30;2.398611;
2013-12-31;2.357661;
2014-01-31;1.994758;
2014-02-28;1.883631;
2014-03-31;1.45914;
2014-04-30;1.973472;
2014-05-31;2.461559;
2014-06-30;2.963472;
2014-07-31;null;
2014-08-31;3.088979;
2014-09-30;2.58431;
2014-10-31;2.858602;
2014-11-30;2.36;
2014-12-31;2.295565;
2015-01-31;1.983442;
2015-02-28;2.470089;
2015-03-31;2.273522;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;3.16828;
2015-09-30;2.8175;
2015-10-31;2.852151;
2015-11-30;2.459306;
2015-12-31;2.353091;
2016-01-31;null;
2016-02-29;null;
2016-03-31;2.324731;
2016-04-30;2.493333;
2016-05-31;1.808064;
2016-06-30;2.624028;
2016-07-31;2.836559;
2016-08-31;1.417742;
2016-09-30;1.825523;
2016-10-31;null;
2016-11-30;2.426945;
2016-12-31;2.207527;
2017-01-31;1.988978;
2017-02-28;2.214352;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;2.268966;
2017-07-31;3.075941;
2017-08-31;2.151344;
2017-09-30;2.533056;
2017-10-31;2.469355;
2017-11-30;1.972917;
2017-12-31;2.232258;
2018-01-31;2.055511;
2018-02-28;2.021429;
2018-03-31;1.861156;
2018-04-30;2.254028;
2018-05-31;2.800403;
2018-06-30;3.045972;
2018-07-31;2.853629;
2018-08-31;3.092742;
2018-09-30;2.868472;
2018-10-31;2.573656;
2018-11-30;2.267222;
2018-12-31;2.252554;
2019-01-31;2.112769;
2019-02-28;2.112054;
2019-03-31;1.857796;
2019-04-30;1.500694;
2019-05-31;1.911021;
2019-06-30;2.738611;
2019-07-31;2.60914;
2019-08-31;3.149731;
2019-09-30;2.474722;
2019-10-31;2.325403;
2019-11-30;1.949444;
2019-12-31;1.875134;
2020-01-31;2.202688;
2020-02-29;2.31756;
2020-03-31;2.202174;
2020-04-30;2.113704;
2020-05-31;1.997715;
2020-06-30;2.145556;
2020-07-31;2.381989;
2020-08-31;2.796102;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;2.836111;
2022-12-31;2.541398;

