Nome: GAUCHA DO NORTE
Codigo Estacao: A930
Latitude: -13.18472221
Longitude: -53.2575
Altitude: 375.87
Situacao: Operante
Data Inicial: 2008-06-03
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;1.693194;
2008-10-31;1.755511;
2008-11-30;1.570688;
2008-12-31;1.711828;
2009-01-31;1.397177;
2009-02-28;1.303666;
2009-03-31;1.301075;
2009-04-30;1.194306;
2009-05-31;1.133333;
2009-06-30;1.427778;
2009-07-31;1.286156;
2009-08-31;1.497446;
2009-09-30;1.512446;
2009-10-31;1.433046;
2009-11-30;1.376389;
2009-12-31;1.386694;
2010-01-31;1.365298;
2010-02-28;1.119048;
2010-03-31;1.163306;
2010-04-30;1.065417;
2010-05-31;1.24207;
2010-06-30;1.050972;
2010-07-31;1.169758;
2010-08-31;1.262156;
2010-09-30;1.318194;
2010-10-31;1.532392;
2010-11-30;1.293472;
2010-12-31;1.181452;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;1.201344;
2011-06-30;1.030694;
2011-07-31;1.013172;
2011-08-31;1.139382;
2011-09-30;1.287917;
2011-10-31;1.086559;
2011-11-30;1.015972;
2011-12-31;1.017608;
2012-01-31;1.026075;
2012-02-29;1.018966;
2012-03-31;.986284;
2012-04-30;.86;
2012-05-31;.97043;
2012-06-30;1.098055;
2012-07-31;1.296774;
2012-08-31;1.543241;
2012-09-30;1.287917;
2012-10-31;1.290457;
2012-11-30;1.233472;
2012-12-31;1.096774;
2013-01-31;1.103091;
2013-02-28;.928125;
2013-03-31;.891556;
2013-04-30;.914306;
2013-05-31;.846774;
2013-06-30;.79125;
2013-07-31;1.242608;
2013-08-31;1.518414;
2013-09-30;1.526111;
2013-10-31;1.495968;
2013-11-30;1.139722;
2013-12-31;1.34207;
2014-01-31;.81586;
2014-02-28;.989732;
2014-03-31;1.028763;
2014-04-30;null;
2014-05-31;null;
2014-06-30;.961944;
2014-07-31;1.121371;
2014-08-31;.974462;
2014-09-30;.947778;
2014-10-31;1.099462;
2014-11-30;.923611;
2014-12-31;.907124;
2015-01-31;.89148;
2015-02-28;1.092113;
2015-03-31;.82621;
2015-04-30;.665833;
2015-05-31;.880645;
2015-06-30;1.001806;
2015-07-31;1.051479;
2015-08-31;1.038038;
2015-09-30;1.261667;
2015-10-31;1.485753;
2015-11-30;1.143889;
2015-12-31;1.023118;
2016-01-31;1.002554;
2016-02-29;1.031595;
2016-03-31;1.025139;
2016-04-30;1.076389;
2016-05-31;1.053898;
2016-06-30;1.074028;
2016-07-31;.668414;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;.521389;
2016-12-31;.692204;
2017-01-31;.627823;
2017-02-28;.909524;
2017-03-31;.843817;
2017-04-30;.858194;
2017-05-31;.727688;
2017-06-30;.945278;
2017-07-31;1.252823;
2017-08-31;.970833;
2017-09-30;1.260139;
2017-10-31;1.28414;
2017-11-30;.893056;
2017-12-31;.724866;
2018-01-31;.906452;
2018-02-28;.39881;
2018-03-31;.925403;
2018-04-30;.73125;
2018-05-31;.852151;
2018-06-30;1.265278;
2018-07-31;1.20578;
2018-08-31;1.329704;
2018-09-30;1.328594;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;.051747;
2019-04-30;.665278;
2019-05-31;1.272177;
2019-06-30;.414167;
2019-07-31;0;
2019-08-31;.294722;
2019-09-30;.637222;
2019-10-31;1.380306;
2019-11-30;1.395471;
2019-12-31;.387903;
2020-01-31;1.077297;
2020-02-29;1.262219;
2020-03-31;1.080532;
2020-04-30;1.33;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;.821624;
2022-05-31;1.118145;
2022-06-30;1.082222;
2022-07-31;.915538;
2022-08-31;1.316556;
2022-09-30;.719555;
2022-10-31;1.408822;
2022-11-30;1.489109;
2022-12-31;1.504936;

