Nome: GUIRATINGA
Codigo Estacao: A932
Latitude: -16.34166666
Longitude: -53.76611111
Altitude: 525.43
Situacao: Operante
Data Inicial: 2008-01-23
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-01-31;null;
2008-02-29;1.313362;
2008-03-31;1.111883;
2008-04-30;1.09375;
2008-05-31;1.175251;
2008-06-30;.882832;
2008-07-31;.933871;
2008-08-31;1.156586;
2008-09-30;1.561389;
2008-10-31;1.457393;
2008-11-30;1.097778;
2008-12-31;1.093011;
2009-01-31;1.132083;
2009-02-28;.959673;
2009-03-31;.982796;
2009-04-30;.928472;
2009-05-31;.814785;
2009-06-30;.996111;
2009-07-31;.912903;
2009-08-31;1.23414;
2009-09-30;1.277083;
2009-10-31;1.143678;
2009-11-30;.988472;
2009-12-31;1.133064;
2010-01-31;1.097926;
2010-02-28;1.062202;
2010-03-31;1.100672;
2010-04-30;.846944;
2010-05-31;1.127957;
2010-06-30;.847361;
2010-07-31;1.12164;
2010-08-31;1.111999;
2010-09-30;1.200972;
2010-10-31;1.471774;
2010-11-30;1.120972;
2010-12-31;1.050538;
2011-01-31;.968817;
2011-02-28;.937202;
2011-03-31;.776524;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;.981048;
2011-08-31;1.303629;
2011-09-30;1.490139;
2011-10-31;1.281048;
2011-11-30;1.215139;
2011-12-31;.91586;
2012-01-31;1.012366;
2012-02-29;.80273;
2012-03-31;.860081;
2012-04-30;.789167;
2012-05-31;.700134;
2012-06-30;.773333;
2012-07-31;.842742;
2012-08-31;.985084;
2012-09-30;1.012639;
2012-10-31;.997984;
2012-11-30;.859722;
2012-12-31;.793414;
2013-01-31;.974059;
2013-02-28;.902679;
2013-03-31;.923222;
2013-04-30;.919167;
2013-05-31;.822177;
2013-06-30;.72654;
2013-07-31;.938301;
2013-08-31;1.123387;
2013-09-30;1.301528;
2013-10-31;1.144489;
2013-11-30;1.009445;
2013-12-31;1.016936;
2014-01-31;.790457;
2014-02-28;.762946;
2014-03-31;.765457;
2014-04-30;.782361;
2014-05-31;.752823;
2014-06-30;.565972;
2014-07-31;.829167;
2014-08-31;.869489;
2014-09-30;.971667;
2014-10-31;1.008199;
2014-11-30;.845972;
2014-12-31;.769758;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;.582392;
2015-06-30;.619444;
2015-07-31;.60336;
2015-08-31;.584946;
2015-09-30;.896944;
2015-10-31;.981183;
2015-11-30;.859167;
2015-12-31;.600806;
2016-01-31;.61922;
2016-02-29;.55273;
2016-03-31;.351344;
2016-04-30;.346528;
2016-05-31;.371909;
2016-06-30;.212222;
2016-07-31;.210215;
2016-08-31;.258871;
2016-09-30;.304722;
2016-10-31;.151064;
2016-11-30;null;
2016-12-31;null;
2017-01-31;.052823;
2017-02-28;.091964;
2017-03-31;.051613;
2017-04-30;.034861;
2017-05-31;.012903;
2017-06-30;.046111;
2017-07-31;.055139;
2017-08-31;.030511;
2017-09-30;.053889;
2017-10-31;.100672;
2017-11-30;.053333;
2017-12-31;.052285;
2018-01-31;.038979;
2018-02-28;.023214;
2018-03-31;.015591;
2018-04-30;.005833;
2018-05-31;.013575;
2018-06-30;.0225;
2018-07-31;.029032;
2018-08-31;.052419;
2018-09-30;.072639;
2018-10-31;.046909;
2018-11-30;null;
2018-12-31;1.398925;
2019-01-31;1.380242;
2019-02-28;1.237054;
2019-03-31;1.350672;
2019-04-30;1.064167;
2019-05-31;1.177957;
2019-06-30;1.259583;
2019-07-31;1.200806;
2019-08-31;1.554032;
2019-09-30;1.34;
2019-10-31;1.39543;
2019-11-30;1.310972;
2019-12-31;1.238575;
2020-01-31;1.283065;
2020-02-29;1.221121;
2020-03-31;1.324462;
2020-04-30;1.298056;
2020-05-31;1.212097;
2020-06-30;1.157623;
2020-07-31;1.141282;
2020-08-31;1.484005;
2020-09-30;1.379167;
2020-10-31;1.433737;
2020-11-30;1.532222;
2020-12-31;1.322984;
2021-01-31;1.228898;
2021-02-28;1.315179;
2021-03-31;1.202554;
2021-04-30;1.031528;
2021-05-31;1.118414;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;.864861;
2022-05-31;.863219;
2022-06-30;.850555;
2022-07-31;.795161;
2022-08-31;1.147446;
2022-09-30;1.244306;
2022-10-31;1.175403;
2022-11-30;1.331389;
2022-12-31;1.185753;

