Nome: ITIQUIRA
Codigo Estacao: A933
Latitude: -17.17499999
Longitude: -54.50166666
Altitude: 593.12
Situacao: Operante
Data Inicial: 2008-08-13
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-08-31;null;
2008-09-30;2.965694;
2008-10-31;2.952016;
2008-11-30;2.493037;
2008-12-31;2.426075;
2009-01-31;2.360881;
2009-02-28;2.274554;
2009-03-31;1.946102;
2009-04-30;1.822361;
2009-05-31;2.054435;
2009-06-30;2.047083;
2009-07-31;2.331983;
2009-08-31;2.903495;
2009-09-30;2.837917;
2009-10-31;2.785058;
2009-11-30;2.925833;
2009-12-31;3.025579;
2010-01-31;2.851381;
2010-02-28;2.672173;
2010-03-31;2.544624;
2010-04-30;2.488472;
2010-05-31;2.455645;
2010-06-30;2.791806;
2010-07-31;2.986962;
2010-08-31;3.188044;
2010-09-30;3.555972;
2010-10-31;3.050269;
2010-11-30;2.988611;
2010-12-31;2.993145;
2011-01-31;2.683065;
2011-02-28;2.722619;
2011-03-31;2.566465;
2011-04-30;2.649306;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;3.024462;
2011-11-30;2.999028;
2011-12-31;2.720833;
2012-01-31;3.454032;
2012-02-29;2.927586;
2012-03-31;2.250269;
2012-04-30;2.229833;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;3.336528;
2012-10-31;3.041129;
2012-11-30;2.214847;
2012-12-31;2.637634;
2013-01-31;1.606855;
2013-02-28;1.33869;
2013-03-31;.421667;
2013-04-30;.219861;
2013-05-31;.202151;
2013-06-30;.235114;
2013-07-31;.589382;
2013-08-31;1.536828;
2013-09-30;1.300236;
2013-10-31;3.263575;
2013-11-30;3.253889;
2013-12-31;3.143145;
2014-01-31;2.710753;
2014-02-28;2.784226;
2014-03-31;2.784274;
2014-04-30;2.241944;
2014-05-31;2.285753;
2014-06-30;2.572083;
2014-07-31;2.567876;
2014-08-31;2.879839;
2014-09-30;2.86375;
2014-10-31;2.594355;
2014-11-30;2.438472;
2014-12-31;2.131317;
2015-01-31;1.777057;
2015-02-28;1.866071;
2015-03-31;1.483065;
2015-04-30;1.295278;
2015-05-31;1.295833;
2015-06-30;1.368194;
2015-07-31;1.522715;
2015-08-31;2.008468;
2015-09-30;2.072639;
2015-10-31;1.767204;
2015-11-30;1.559167;
2015-12-31;1.393548;
2016-01-31;1.188978;
2016-02-29;1.024282;
2016-03-31;null;
2016-04-30;null;
2016-05-31;1.349059;
2016-06-30;1.1825;
2016-07-31;1.261156;
2016-08-31;1.599731;
2016-09-30;1.930556;
2016-10-31;1.790539;
2016-11-30;1.214167;
2016-12-31;.691801;
2017-01-31;.492876;
2017-02-28;.38378;
2017-03-31;.212231;
2017-04-30;.304167;
2017-05-31;.166532;
2017-06-30;.290625;
2017-07-31;null;
2017-08-31;.590586;
2017-09-30;.459583;
2017-10-31;1.10578;
2017-11-30;.623512;
2017-12-31;.343683;
2018-01-31;.363575;
2018-02-28;.364137;
2018-03-31;.317742;
2018-04-30;.359028;
2018-05-31;.412903;
2018-06-30;.414583;
2018-07-31;.50457;
2018-08-31;1.299731;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;.457796;
2019-01-31;.605645;
2019-02-28;.541071;
2019-03-31;.560618;
2019-04-30;.231945;
2019-05-31;.438575;
2019-06-30;.780556;
2019-07-31;.779301;
2019-08-31;1.3375;
2019-09-30;1.181111;
2019-10-31;.8875;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;.86625;
2022-05-31;1.107661;
2022-06-30;1.189445;
2022-07-31;.90914;
2022-08-31;1.595833;
2022-09-30;1.587083;
2022-10-31;1.279973;
2022-11-30;1.349167;
2022-12-31;.705043;

