Nome: PORTO ESTRELA
Codigo Estacao: A935
Latitude: -15.32472221
Longitude: -57.22583332
Altitude: 147.75
Situacao: Operante
Data Inicial: 2008-05-29
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;1.16617;
2008-06-30;.862325;
2008-07-31;.815591;
2008-08-31;1.044489;
2008-09-30;1.406389;
2008-10-31;1.402285;
2008-11-30;1.223563;
2008-12-31;1.09287;
2009-01-31;.965977;
2009-02-28;1.076748;
2009-03-31;.910722;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;1.292608;
2010-08-31;1.110592;
2010-09-30;1.266667;
2010-10-31;1.44879;
2010-11-30;1.328472;
2010-12-31;1.345564;
2011-01-31;1.193414;
2011-02-28;1.18125;
2011-03-31;1.06095;
2011-04-30;.803195;
2011-05-31;.997984;
2011-06-30;.925139;
2011-07-31;1.108737;
2011-08-31;1.331586;
2011-09-30;1.335972;
2011-10-31;1.460887;
2011-11-30;1.435972;
2011-12-31;1.111156;
2012-01-31;1.206989;
2012-02-29;.8625;
2012-03-31;.99543;
2012-04-30;.829722;
2012-05-31;.643548;
2012-06-30;.768195;
2012-07-31;.842607;
2012-08-31;1.117857;
2012-09-30;1.104028;
2012-10-31;1.171237;
2012-11-30;1.14125;
2012-12-31;1.255107;
2013-01-31;1.08414;
2013-02-28;1.320167;
2013-03-31;.933801;
2013-04-30;.977778;
2013-05-31;.98414;
2013-06-30;.863258;
2013-07-31;1.080376;
2013-08-31;1.269595;
2013-09-30;1.320872;
2013-10-31;1.255914;
2013-11-30;1.354861;
2013-12-31;1.321371;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;.874167;
2014-07-31;1.000941;
2014-08-31;.955242;
2014-09-30;1.141944;
2014-10-31;1.142742;
2014-11-30;1.211667;
2014-12-31;1.222043;
2015-01-31;.931457;
2015-02-28;.979315;
2015-03-31;.889884;
2015-04-30;.770402;
2015-05-31;.753226;
2015-06-30;.852361;
2015-07-31;.885349;
2015-08-31;null;
2015-09-30;1.218406;
2015-10-31;1.350057;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;.847177;
2016-04-30;.818264;
2016-05-31;.854363;
2016-06-30;.844401;
2016-07-31;.8827;
2016-08-31;1.262944;
2016-09-30;1.123472;
2016-10-31;1.047353;
2016-11-30;1.005417;
2016-12-31;1.136694;
2017-01-31;.955376;
2017-02-28;1.027827;
2017-03-31;.794624;
2017-04-30;.910278;
2017-05-31;.745968;
2017-06-30;.777346;
2017-07-31;1.049312;
2017-08-31;1.11828;
2017-09-30;1.012083;
2017-10-31;1.0375;
2017-11-30;1.219583;
2017-12-31;1.309409;
2018-01-31;1.138978;
2018-02-28;1.075;
2018-03-31;.94086;
2018-04-30;.789028;
2018-05-31;.840305;
2018-06-30;1.234028;
2018-07-31;1.043952;
2018-08-31;1.376344;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;.950278;
2019-07-31;1.082392;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;.846774;
2020-01-31;1.079301;
2020-02-29;.970115;
2020-03-31;.837366;
2020-04-30;.887917;
2020-05-31;.743414;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;0;
2020-10-31;0;
2020-11-30;0;
2020-12-31;0;
2021-01-31;0;
2021-02-28;0;
2021-03-31;0;
2021-04-30;0;
2021-05-31;0;
2021-06-30;0;
2021-07-31;0;
2021-08-31;0;
2021-09-30;0;
2021-10-31;0;
2021-11-30;0;
2021-12-31;0;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;.820413;
2022-06-30;.674167;
2022-07-31;.702425;
2022-08-31;.920933;
2022-09-30;1.004275;
2022-10-31;.969086;
2022-11-30;1.066528;
2022-12-31;1.100134;

