Nome: CACERES
Codigo Estacao: A941
Latitude: -16.07472221
Longitude: -57.69305555
Altitude: 123.53
Situacao: Fechada
Data Inicial: 2012-03-29
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-03-31;null;
2012-04-30;1.292361;
2012-05-31;1.177823;
2012-06-30;1.248333;
2012-07-31;1.274194;
2012-08-31;1.512596;
2012-09-30;1.480833;
2012-10-31;1.690457;
2012-11-30;null;
2012-12-31;1.523661;
2013-01-31;1.433736;
2013-02-28;1.517262;
2013-03-31;1.265833;
2013-04-30;1.218333;
2013-05-31;1.275941;
2013-06-30;1.128649;
2013-07-31;1.314417;
2013-08-31;1.633065;
2013-09-30;1.567083;
2013-10-31;1.440323;
2013-11-30;1.515417;
2013-12-31;1.53629;
2014-01-31;1.502823;
2014-02-28;1.347024;
2014-03-31;1.39664;
2014-04-30;1.257917;
2014-05-31;1.179839;
2014-06-30;1.31875;
2014-07-31;1.2;
2014-08-31;1.260081;
2014-09-30;1.425139;
2014-10-31;1.404839;
2014-11-30;1.415278;
2014-12-31;1.444355;
2015-01-31;1.339551;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;1.136828;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;1.460833;
2015-12-31;1.535753;
2016-01-31;1.530242;
2016-02-29;1.321552;
2016-03-31;1.282334;
2016-04-30;1.279722;
2016-05-31;1.177823;
2016-06-30;1.208055;
2016-07-31;1.310887;
2016-08-31;1.452957;
2016-09-30;1.335;
2016-10-31;1.542847;
2016-11-30;1.432917;
2016-12-31;1.515323;
2017-01-31;1.364382;
2017-02-28;1.312351;
2017-03-31;1.248656;
2017-04-30;1.222222;
2017-05-31;1.126613;
2017-06-30;1.107917;
2017-07-31;1.315188;
2017-08-31;1.347715;
2017-09-30;1.265278;
2017-10-31;1.538575;
2017-11-30;1.362639;
2017-12-31;1.433871;
2018-01-31;1.349866;
2018-02-28;1.266667;
2018-03-31;1.226075;
2018-04-30;1.137204;
2018-05-31;1.18629;
2018-06-30;1.345972;
2018-07-31;1.296096;
2018-08-31;1.436156;
2018-09-30;1.445833;
2018-10-31;1.381475;
2018-11-30;1.299167;
2018-12-31;1.428629;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;1.358065;
2019-09-30;1.425719;
2019-10-31;1.439247;
2019-11-30;1.433902;
2019-12-31;1.292648;
2020-01-31;1.423656;
2020-02-29;1.32227;
2020-03-31;1.150684;
2020-04-30;1.154861;
2020-05-31;1.115995;
2020-06-30;1.243472;
2020-07-31;1.22379;
2020-08-31;1.267876;
2020-09-30;1.290833;
2020-10-31;1.504167;
2020-11-30;1.344861;
2020-12-31;1.444624;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

