Nome: SERRA NOVA DOURADA
Codigo Estacao: A943
Latitude: -11.98777777
Longitude: -51.4261111
Altitude: 441
Situacao: Operante
Data Inicial: 2019-03-28
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-03-31;null;
2019-04-30;2.2175;
2019-05-31;2.649194;
2019-06-30;3.3825;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;2.485238;
2020-02-29;2.367341;
2020-03-31;2.379118;
2020-04-30;2.48875;
2020-05-31;2.925134;
2020-06-30;3.196944;
2020-07-31;3.472849;
2020-08-31;3.749328;
2020-09-30;3.68686;
2020-10-31;3.24122;
2020-11-30;3.215688;
2020-12-31;2.425351;
2021-01-31;2.379596;
2021-02-28;2.367734;
2021-03-31;2.584631;
2021-04-30;2.492083;
2021-05-31;2.359946;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;3.79927;
2022-09-30;null;
2022-10-31;3.35848;
2022-11-30;2.712321;
2022-12-31;2.293023;

