Nome: COLOMBO
Codigo Estacao: B806
Latitude: -25.322464
Longitude: -49.157733
Altitude: 950
Situacao: Operante
Data Inicial: 2016-05-31
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-05-31;null;
2016-06-30;1.11796;
2016-07-31;1.603991;
2016-08-31;1.416667;
2016-09-30;1.583194;
2016-10-31;1.663306;
2016-11-30;1.524722;
2016-12-31;1.572312;
2017-01-31;1.297312;
2017-02-28;1.34747;
2017-03-31;1.270296;
2017-04-30;1.348472;
2017-05-31;1.279786;
2017-06-30;1.433472;
2017-07-31;1.325958;
2017-08-31;1.458199;
2017-09-30;1.560501;
2017-10-31;1.769728;
2017-11-30;1.559307;
2017-12-31;1.427799;
2018-01-31;1.475672;
2018-02-28;1.311918;
2018-03-31;1.259169;
2018-04-30;1.133889;
2018-05-31;1.329698;
2018-06-30;1.3425;
2018-07-31;1.398831;
2018-08-31;1.519554;
2018-09-30;1.434356;
2018-10-31;1.442941;
2018-11-30;1.627905;
2018-12-31;1.523343;
2019-01-31;1.362027;
2019-02-28;1.319378;
2019-03-31;1.237849;
2019-04-30;1.149942;
2019-05-31;1.243366;
2019-06-30;1.180937;
2019-07-31;1.410788;
2019-08-31;1.552764;
2019-09-30;1.584023;
2019-10-31;1.446862;
2019-11-30;1.463501;
2019-12-31;1.377578;
2020-01-31;1.352609;
2020-02-29;1.294233;
2020-03-31;1.222573;
2020-04-30;1.28814;
2020-05-31;1.3673;
2020-06-30;1.555267;
2020-07-31;1.630604;
2020-08-31;1.360341;
2020-09-30;1.640129;
2020-10-31;1.459491;
2020-11-30;1.391447;
2020-12-31;1.433208;
2021-01-31;1.425346;
2021-02-28;1.207315;
2021-03-31;null;
2021-04-30;1.133292;
2021-05-31;1.326041;
2021-06-30;1.25783;
2021-07-31;1.318004;
2021-08-31;1.392561;
2021-09-30;1.476354;
2021-10-31;1.408288;
2021-11-30;1.413673;
2021-12-31;1.341736;
2022-01-31;1.166829;
2022-02-28;1.252227;
2022-03-31;1.327352;
2022-04-30;1.19229;
2022-05-31;1.360781;
2022-06-30;1.333714;
2022-07-31;1.471259;
2022-08-31;1.454642;
2022-09-30;1.468812;
2022-10-31;null;
2022-11-30;1.303673;
2022-12-31;1.343388;

