Nome: BELO HORIZONTE - CERCADINHO
Codigo Estacao: F501
Latitude: -19.97999999
Longitude: -43.95861111
Altitude: 1199.55
Situacao: Operante
Data Inicial: 2013-12-26
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;5.529962;
2014-04-30;5.46328;
2014-05-31;5.430324;
2014-06-30;5.253611;
2014-07-31;5.988441;
2014-08-31;5.663844;
2014-09-30;6.282222;
2014-10-31;6.65215;
2014-11-30;5.445719;
2014-12-31;4.707796;
2015-01-31;4.853874;
2015-02-28;4.505357;
2015-03-31;4.736694;
2015-04-30;5.574167;
2015-05-31;5.704301;
2015-06-30;5.987367;
2015-07-31;5.43033;
2015-08-31;6.035484;
2015-09-30;6.101667;
2015-10-31;6.374328;
2015-11-30;4.880972;
2015-12-31;4.517016;
2016-01-31;4.999866;
2016-02-29;4.318247;
2016-03-31;5.003857;
2016-04-30;5.147083;
2016-05-31;5.113172;
2016-06-30;5.237361;
2016-07-31;5.36129;
2016-08-31;5.367619;
2016-09-30;6.27625;
2016-10-31;6.092608;
2016-11-30;5.078194;
2016-12-31;4.890621;
2017-01-31;4.852823;
2017-02-28;4.798829;
2017-03-31;5.557124;
2017-04-30;5.904167;
2017-05-31;5.621236;
2017-06-30;5.529167;
2017-07-31;6.118548;
2017-08-31;6.415813;
2017-09-30;6.112681;
2017-10-31;6.212769;
2017-11-30;5.334583;
2017-12-31;4.464382;
2018-01-31;4.395296;
2018-02-28;4.603397;
2018-03-31;4.052858;
2018-04-30;5.693611;
2018-05-31;5.608737;
2018-06-30;4.797361;
2018-07-31;4.817473;
2018-08-31;5.932692;
2018-09-30;5.582361;
2018-10-31;5.747312;
2018-11-30;5.618333;
2018-12-31;4.716263;
2019-01-31;4.598522;
2019-02-28;4.450893;
2019-03-31;5.174731;
2019-04-30;4.454112;
2019-05-31;4.356469;
2019-06-30;5.083056;
2019-07-31;5.33414;
2019-08-31;6.442631;
2019-09-30;6.452597;
2019-10-31;6.016228;
2019-11-30;5.850833;
2019-12-31;4.929704;
2020-01-31;4.032124;
2020-02-29;4.444109;
2020-03-31;5.506989;
2020-04-30;5.201389;
2020-05-31;4.741264;
2020-06-30;4.548194;
2020-07-31;4.711038;
2020-08-31;6.253091;
2020-09-30;5.492959;
2020-10-31;5.873118;
2020-11-30;4.95055;
2020-12-31;4.177811;
2021-01-31;4.873136;
2021-02-28;4.116816;
2021-03-31;4.213844;
2021-04-30;5.230833;
2021-05-31;null;
2021-06-30;null;
2021-07-31;5.49086;
2021-08-31;6.158871;
2021-09-30;6.021667;
2021-10-31;6.147715;
2021-11-30;5.108472;
2021-12-31;5.219892;
2022-01-31;3.968683;
2022-02-28;3.744494;
2022-03-31;5.246774;
2022-04-30;5.321945;
2022-05-31;4.933199;
2022-06-30;4.879583;
2022-07-31;4.939516;
2022-08-31;6.63293;
2022-09-30;6.14;
2022-10-31;5.34421;
2022-11-30;6.139167;
2022-12-31;5.015726;

